random_id,condition,feature1,feature2,exemplar,target1,target2,exemplar_label,target1_choice,target2_choice,chosen_target,correct,chosen_feature,trial_index,time_elapsed,rt
0qlo4a21l3,fmbg,attn,NA,zs,bs,mbs,nephew,nephew,cousin,bs,Y,NA,46,287860,11297
va508nkwen,fmbg,gene,gend,mzd,mzs,mz,šïenö,šïenö,cöhido,mzs,Y,gene,22,141888,15014
va508nkwen,fmbg,line,gcr,dd,fm,zd,qïru,kïmy,qïru,zd,N,gcr,26,180065,29618
va508nkwen,fmbg,gend,gcr,mz,fm,mf,kvurdå,kvurdå,rymsvå,fm,Y,gend,30,194896,6275
va508nkwen,fmbg,gend,line,mf,mzs,dd,kawuka,kawuka,goviku,mzs,Y,gend,34,241079,37626
va508nkwen,fmbg,gene,gcr,mz,fz,zd,aweh,aweh,øqoç,fz,Y,gene,38,261959,12335
va508nkwen,fmbg,gene,line,d,bd,dd,etupol,awupav,etupol,dd,N,line,42,283108,12589
va508nkwen,fmbg,attn,NA,zs,bs,mbs,nephew,nephew,cousin,bs,Y,NA,46,297719,6058
rbljp4lw2k,fmgb,line,gcr,fb,mbs,ff,goviku,kawuka,goviku,ff,N,gcr,22,297894,111114
rbljp4lw2k,fmgb,gene,gend,ff,fm,f,qïru,kïmy,qïru,f,N,gend,26,352514,46058
rbljp4lw2k,fmgb,gend,line,ff,fbs,sd,øqoç,øqoç,aweh,fbs,Y,gend,30,382826,21768
rbljp4lw2k,fmgb,gene,gcr,dd,sd,mm,cöhido,cöhido,šïenö,sd,Y,gene,34,423658,32289
rbljp4lw2k,fmgb,gene,line,b,fbs,ds,kvurdå,rymsvå,kvurdå,ds,N,line,38,448891,16676
rbljp4lw2k,fmgb,gend,gcr,fb,mf,fm,etupol,etupol,awupav,mf,Y,gend,42,480930,23501
rbljp4lw2k,fmgb,attn,NA,zs,bs,mbs,nephew,nephew,cousin,bs,Y,NA,46,501890,12424
orkd40wo6k,mfgb,gene,gend,zd,zs,mbd,šïenö,šïenö,cöhido,zs,Y,gene,22,180621,18685
orkd40wo6k,mfgb,gene,line,d,zd,sd,kïmy,kïmy,qïru,zd,Y,gene,26,210507,21225
orkd40wo6k,mfgb,gene,gcr,mbs,fbs,zs,øqoç,øqoç,aweh,fbs,Y,gene,30,226746,7598
orkd40wo6k,mfgb,line,gcr,mm,sd,mzd,etupol,awupav,etupol,mzd,N,gcr,34,244613,8980
orkd40wo6k,mfgb,gend,line,ff,bs,sd,goviku,goviku,kawuka,bs,Y,gend,38,258527,5101
orkd40wo6k,mfgb,gend,gcr,fz,mm,ff,kvurdå,kvurdå,rymsvå,mm,Y,gend,42,274618,7534
orkd40wo6k,mfgb,attn,NA,zs,bs,mbs,nephew,nephew,cousin,bs,Y,NA,46,298768,15606
083lakor3k,mfgb,gend,line,mm,mbd,ds,kvurdå,kvurdå,rymsvå,mbd,Y,gend,22,243770,72154
083lakor3k,mfgb,gene,gcr,mbs,fzs,mb,kïmy,kïmy,qïru,fzs,Y,gene,26,265909,13516
083lakor3k,mfgb,line,gcr,mz,fbd,mm,goviku,goviku,kawuka,fbd,Y,line,30,286005,11494
083lakor3k,mfgb,gene,gend,fzs,fbd,fb,cöhido,cöhido,šïenö,fbd,Y,gene,34,315269,20647
083lakor3k,mfgb,gene,line,z,fzd,mm,awupav,awupav,etupol,fzd,Y,gene,38,345990,22060
083lakor3k,mfgb,gend,gcr,fzs,mzs,fzd,øqoç,øqoç,aweh,mzs,Y,gend,42,364034,9426
083lakor3k,mfgb,attn,NA,zs,bs,mbs,nephew,nephew,cousin,bs,Y,NA,46,410225,37590
gfn5auengo,mfgb,line,gcr,fbs,mb,ss,goviku,kawuka,goviku,ss,N,gcr,22,101574,14114
gfn5auengo,mfgb,gene,line,s,zs,ff,rymsvå,rymsvå,kvurdå,zs,Y,gene,26,117474,7367
gfn5auengo,mfgb,gend,line,fm,fzd,ss,kïmy,kïmy,qïru,fzd,Y,gend,30,130533,4521
gfn5auengo,mfgb,gene,gend,ss,sd,ff,etupol,etupol,awupav,sd,Y,gene,34,143011,3955
gfn5auengo,mfgb,gene,gcr,mbd,fzd,zd,aweh,aweh,øqoç,fzd,Y,gene,38,154897,3361
gfn5auengo,mfgb,gend,gcr,fzs,mzs,fzd,šïenö,šïenö,cöhido,mzs,Y,gend,42,167327,3889
gfn5auengo,mfgb,attn,NA,zs,bs,mbs,nephew,nephew,cousin,bs,Y,NA,46,180316,4452
tqmh7zkv2h,fmbg,line,gcr,mz,bd,mm,rymsvå,kvurdå,rymsvå,mm,N,gcr,22,1286963,13995
tqmh7zkv2h,fmbg,gene,line,z,mbd,sd,øqoç,øqoç,aweh,mbd,Y,gene,26,1317123,21594
tqmh7zkv2h,fmbg,gend,line,mz,mm,mbs,awupav,awupav,etupol,mm,Y,gend,30,1343370,17676
tqmh7zkv2h,fmbg,gend,gcr,fz,mm,ff,kïmy,qïru,kïmy,ff,N,gcr,34,1374459,22533
tqmh7zkv2h,fmbg,gene,gend,mzd,mzs,mz,goviku,goviku,kawuka,mzs,Y,gene,38,1388603,5600
tqmh7zkv2h,fmbg,gene,gcr,mf,ff,ds,cöhido,cöhido,šïenö,ff,Y,gene,42,1406810,9624
tqmh7zkv2h,fmbg,attn,NA,zs,bs,mbs,nephew,cousin,nephew,mbs,N,NA,46,1433907,18554
o95uk6cppx,mfbg,line,gcr,sd,mm,fz,etupol,etupol,awupav,mm,Y,line,22,115445,7826
o95uk6cppx,mfbg,gene,gcr,fb,mb,bs,kïmy,kïmy,qïru,mb,Y,gene,26,127453,3482
o95uk6cppx,mfbg,gene,line,z,fbd,mm,rymsvå,kvurdå,rymsvå,mm,N,line,30,140821,4828
o95uk6cppx,mfbg,gend,gcr,ss,ds,sd,aweh,aweh,øqoç,ds,Y,gend,34,155404,6040
o95uk6cppx,mfbg,gene,gend,mzs,mzd,mb,goviku,goviku,kawuka,mzd,Y,gene,38,172213,8280
o95uk6cppx,mfbg,gend,line,ff,fzs,sd,cöhido,cöhido,šïenö,fzs,Y,gend,42,185101,4338
o95uk6cppx,mfbg,attn,NA,zs,bs,mbs,nephew,nephew,cousin,bs,Y,NA,46,201173,7536
9nzpwu5382,mfgb,gene,line,z,fbd,dd,kïmy,kïmy,qïru,fbd,Y,gene,22,169440,37970
9nzpwu5382,mfgb,gend,line,ff,fb,sd,cöhido,cöhido,šïenö,fb,Y,gend,26,197265,19005
9nzpwu5382,mfgb,gend,gcr,fz,mz,fb,rymsvå,rymsvå,kvurdå,mz,Y,gend,30,229848,23938
9nzpwu5382,mfgb,line,gcr,ss,mf,bs,kawuka,goviku,kawuka,bs,N,gcr,34,248420,9981
9nzpwu5382,mfgb,gene,gcr,ff,mf,ss,etupol,awupav,etupol,ss,N,gcr,38,270275,13233
9nzpwu5382,mfgb,gene,gend,mm,mf,m,øqoç,øqoç,aweh,mf,Y,gene,42,285792,6905
9nzpwu5382,mfgb,attn,NA,zs,bs,mbs,nephew,nephew,cousin,bs,Y,NA,46,306041,11645
d2ha4cjgb1,mfgb,gene,gend,fbs,fbd,fb,cöhido,cöhido,šïenö,fbd,Y,gene,22,57744,10193
d2ha4cjgb1,mfgb,gend,gcr,ss,ds,sd,awupav,awupav,etupol,ds,Y,gend,26,76680,10384
d2ha4cjgb1,mfgb,gene,gcr,zd,bd,mbd,øqoç,øqoç,aweh,bd,Y,gene,30,94560,9331
d2ha4cjgb1,mfgb,gene,line,z,fzd,dd,goviku,goviku,kawuka,fzd,Y,gene,34,117841,14715
d2ha4cjgb1,mfgb,line,gcr,fbd,mz,sd,kïmy,qïru,kïmy,sd,N,gcr,38,131778,5385
d2ha4cjgb1,mfgb,gend,line,ff,fzs,sd,rymsvå,rymsvå,kvurdå,fzs,Y,gend,42,146209,5898
d2ha4cjgb1,mfgb,attn,NA,zs,bs,mbs,nephew,nephew,cousin,bs,Y,NA,46,159136,4382
n309vdko1n,fmbg,gend,gcr,zd,bd,zs,kïmy,kïmy,qïru,bd,Y,gend,22,144684,16243
n309vdko1n,fmbg,gene,gend,mzs,mzd,mb,goviku,goviku,kawuka,mzd,Y,gene,26,168040,14834
n309vdko1n,fmbg,gene,line,s,zs,ff,awupav,awupav,etupol,zs,Y,gene,30,194991,18193
n309vdko1n,fmbg,gend,line,mz,mm,ds,cöhido,šïenö,cöhido,ds,N,line,34,223851,20341
n309vdko1n,fmbg,line,gcr,fb,mzs,ff,kvurdå,kvurdå,rymsvå,mzs,Y,line,38,255350,22981
n309vdko1n,fmbg,gene,gcr,mb,fb,mzs,øqoç,øqoç,aweh,fb,Y,gene,42,275030,11160
n309vdko1n,fmbg,attn,NA,zs,bs,mbs,nephew,nephew,cousin,bs,Y,NA,46,291356,7804
mrv6ybvx9n,mfbg,line,gcr,fzs,mb,ss,aweh,øqoç,aweh,ss,N,gcr,22,213730,50391
mrv6ybvx9n,mfbg,gene,line,z,fzd,dd,kvurdå,rymsvå,kvurdå,dd,N,line,26,238471,16148
mrv6ybvx9n,mfbg,gene,gcr,fbd,mbd,bd,cöhido,cöhido,šïenö,mbd,Y,gene,30,276193,29111
mrv6ybvx9n,mfbg,gene,gend,zs,zd,mbs,awupav,awupav,etupol,zd,Y,gene,34,294692,9928
mrv6ybvx9n,mfbg,gend,gcr,fz,mz,fb,qïru,kïmy,qïru,fb,N,gcr,38,309295,6040
mrv6ybvx9n,mfbg,gend,line,mbd,mm,mb,kawuka,goviku,kawuka,mb,N,line,42,336319,18448
mrv6ybvx9n,mfbg,attn,NA,zs,bs,mbs,nephew,nephew,cousin,bs,Y,NA,46,366921,22016
jhxn9qmeze,fmgb,gene,gend,mbd,mbs,mz,qïru,qïru,kïmy,mbs,Y,gene,22,126107,39730
jhxn9qmeze,fmgb,gene,line,z,mbd,fm,aweh,øqoç,aweh,fm,N,line,26,148254,13612
jhxn9qmeze,fmgb,gend,gcr,fz,mm,ff,goviku,kawuka,goviku,ff,N,gcr,30,168761,11970
jhxn9qmeze,fmgb,line,gcr,ds,ff,mb,rymsvå,kvurdå,rymsvå,mb,N,gcr,34,196278,18965
jhxn9qmeze,fmgb,gend,line,mz,mm,ds,šïenö,cöhido,šïenö,ds,N,line,38,210708,5852
jhxn9qmeze,fmgb,gene,gcr,mz,fz,mbd,awupav,etupol,awupav,mbd,N,gcr,42,226567,7300
jhxn9qmeze,fmgb,attn,NA,zs,bs,mbs,nephew,cousin,nephew,mbs,N,NA,46,242337,7220
k932ey7bkf,fmgb,gend,line,mm,mzd,ds,kawuka,kawuka,goviku,mzd,Y,gend,22,196298,42477
k932ey7bkf,fmgb,gene,gend,fzd,fbs,fz,šïenö,šïenö,cöhido,fbs,Y,gene,26,230312,25416
k932ey7bkf,fmgb,gene,line,b,mzs,ff,etupol,etupol,awupav,mzs,Y,gene,30,252822,13963
k932ey7bkf,fmgb,line,gcr,mzs,fb,mf,øqoç,aweh,øqoç,mf,N,gcr,34,272802,11443
k932ey7bkf,fmgb,gene,gcr,mz,fz,mzd,qïru,qïru,kïmy,fz,Y,gene,38,285630,4283
k932ey7bkf,fmgb,gend,gcr,fb,mb,fz,kvurdå,kvurdå,rymsvå,mb,Y,gend,42,299098,4909
k932ey7bkf,fmgb,attn,NA,zs,bs,mbs,nephew,nephew,cousin,bs,Y,NA,46,322872,15224
qxtv2ssdw2,fmgb,gend,gcr,fzs,mzs,fzd,qïru,qïru,kïmy,mzs,Y,gend,22,54024,11167
qxtv2ssdw2,fmgb,gene,line,b,fbs,ds,etupol,etupol,awupav,fbs,Y,gene,26,77143,14550
qxtv2ssdw2,fmgb,gene,gcr,mbs,fzs,mb,kawuka,goviku,kawuka,mb,N,gcr,30,127161,41193
qxtv2ssdw2,fmgb,gend,line,fm,fz,ss,kvurdå,rymsvå,kvurdå,ss,N,line,34,145496,9570
qxtv2ssdw2,fmgb,line,gcr,mb,fzs,mf,øqoç,aweh,øqoç,mf,N,gcr,38,183561,29500
qxtv2ssdw2,fmgb,gene,gend,mzs,mzd,mb,šïenö,šïenö,cöhido,mzd,Y,gene,42,222215,29927
qxtv2ssdw2,fmgb,attn,NA,zs,bs,mbs,nephew,nephew,cousin,bs,Y,NA,46,243239,12308
wn5u9x4lf7,fmgb,gene,line,s,zs,ss,øqoç,aweh,øqoç,ss,N,line,22,337916,73736
wn5u9x4lf7,fmgb,gend,line,bd,fm,fzs,awupav,etupol,awupav,fzs,N,line,26,369868,23373
wn5u9x4lf7,fmgb,gene,gend,zs,zd,mb,rymsvå,kvurdå,rymsvå,mb,N,gend,30,399051,20627
wn5u9x4lf7,fmgb,gend,gcr,ss,ds,sd,kïmy,kïmy,qïru,ds,Y,gend,34,427023,19431
wn5u9x4lf7,fmgb,line,gcr,fbd,mz,sd,kawuka,goviku,kawuka,sd,N,gcr,38,474498,38527
wn5u9x4lf7,fmgb,gene,gcr,fzs,mzs,bs,cöhido,cöhido,šïenö,mzs,Y,gene,42,498693,15373
wn5u9x4lf7,fmgb,attn,NA,zs,bs,mbs,nephew,nephew,cousin,bs,Y,NA,46,535175,27762
