pref_name_for_society,glottocode,Value
Ngarawapum,adze1240,Patrilineal
Banaro,bana1292,Patrilineal
Busama,buga1250,Duolateral
Manam,mana1295,Patrilineal
Arapesh,buki1249,Patrilineal
Mimika,kamo1255,Matrilineal
Fore,fore1270,Patrilineal
Sio,sioo1240,Mixed
Soromadja,nucl1595,Patrilineal
Bgu,bong1287,Bilateral
Iatmul,iatm1242,Patrilineal
Samarokena,sama1240,Bilateral
Star Mountain,ngal1298,Patrilineal
Dani,midg1235,Patrilineal
Elema,orok1267,Patrilineal
Wogeo,woge1237,Duolateral
Keraki,namb1293,Patrilineal
Waropen,waro1242,Patrilineal
Enga,enga1252,Patrilineal
Purari,pura1257,Patrilineal
Orokaiva,orok1269,Patrilineal
Palauans,pala1344,Mixed
Nomoians,mort1237,Matrilineal
Kosraeans,kosr1238,Matrilineal
Bikinians,rali1241,Matrilineal
Nauruans,naur1243,Mixed
Makin,bana1287,Ambilineal
Carolinians,caro1242,Matrilineal
Lamotrek,lamo1243,Matrilineal
Marshallese - Jaluit atoll,rali1241,Matrilineal
Trukese,chuu1238,Mixed
Majuro,rata1243,Mixed
Ifaluk,nucl1479,Mixed
Ponapeans,pohn1238,Matrilineal
Yapese,yape1248,Duolateral
Gilbert Onotoa,nuii1237,Ambilineal
Chamorro,cham1312,Bilateral
Ulithians,ulit1238,Matrilineal
Siuai,siwa1245,Matrilineal
Usiai,lele1270,Duolateral
Rossel Islanders,yele1255,Matrilineal
Choiseulese,vagh1249,Ambilineal
Aua,wuvu1239,Matrilineal
Dahuni,suau1242,Matrilineal
Bakovi,bola1250,Patrilineal
Bwaidoga,bwai1242,Ambilineal
Kombe,mudu1242,Patrilineal
Kwaio,kwai1243,Mixed
Molima,moli1248,Ambilineal
Trobriands,kili1267,Matrilineal
Kaoka,long1395,Matrilineal
Tangu,tang1348,Matrilineal
Kurtatchi,tinp1237,Mixed
Lesu,nots1237,Matrilineal
Dobuans,dobu1241,Matrilineal
Ulawans,saaa1240,Ambilineal
Lakalai,naka1262,Mixed
Simboese,simb1256,Ambilineal
Manus,tita1241,Duolateral
Mota,mota1237,Matrilineal
Tannese,sout2869,Patrilineal
Epi,lame1260,Patrilineal
Eromangans,siee1239,Patrilineal
Ranon,nort2839,Duolateral
Mbau Fijians,bauu1243,Patrilineal
Seniang,sout2857,Patrilineal
Bunlap,saaa1241,Duolateral
Lau,laua1243,Patrilineal
Ajie,ajie1238,Patrilineal
Rotumans,rotu1241,Mixed
Lifu,dehu1237,Patrilineal
Vanua Levu,nort2843,Duolateral
Santa Cruz Islanders,natu1246,Matrilineal
American Samoans,samo1305,Ambilineal
Rennell Islanders,renn1242,Bilateral
Tongans,tong1325,Ambilineal
Uveans,wall1257,Ambilineal
Upolu Samoans,samo1305,Ambilineal
Tikopia,tiko1237,Mixed
Pukapukans,puka1242,Mixed
Ellice,tuva1244,Ambilineal
Ontong Java,onto1237,Ambilineal
Tokelau,toke1240,Ambilineal
Kapingamarangi,kapi1249,Bilateral
Futunans,east2447,Ambilineal
Niueans,niue1239,Ambilineal
Mangaians,raro1241,Ambilineal
Tongarevans,penr1237,Bilateral
Māori,maor1246,Ambilineal
Marquesans,nort2845,Bilateral
Manihikians,raka1237,Bilateral
Raroians,tuam1242,Ambilineal
Hawaiians,hawa1245,Ambilineal
Mangarevans,mang1401,Ambilineal
Tahitians,tahi1242,Ambilineal
Easter Islanders,rapa1244,Ambilineal
Nabesna,uppe1437,Matrilineal
Chugach,chug1254,Bilateral
Sivokakmeit,cent2128,Mixed
Nunamiut,nort2944,Bilateral
Nunatsiarmiut,baff1240,Bilateral
Inughuit (Northern Greenland),pola1254,Bilateral
Tlicho,dogr1252,Bilateral
Délįne,nort2942,Bilateral
DeneTha,sout2959,Bilateral
Dakelh,carr1249,Matrilineal
Tareumiut,nort2944,Bilateral
Kutchin,gwic1235,Matrilineal
Caribou Inuit,cari1277,Bilateral
Iglulik Inuit,west2618,Bilateral
Labrador Inuit,labr1244,Bilateral
Tasiilaq,tunu1234,Bilateral
Kalaallit (West Greenland),kala1399,Bilateral
Dena'ina,tana1289,Matrilineal
Tahltan,tahl1239,Matrilineal
Sekani,seka1250,Bilateral
Beaver,beav1236,Bilateral
Copper Inuit,copp1244,Bilateral
Dene,chip1261,Bilateral
Eastern Cree,sout2978,Bilateral
Montagnais,mont1268,Bilateral
Northern Saulteaux,alba1270,Patrilineal
Pekangekum,lacs1238,Mixed
Nipigon,cent2136,Patrilineal
Minnesota Ojibwa,redl1238,Patrilineal
Rainy River Ojibwe,rain1239,Patrilineal
Katikitegon,uppe1274,Patrilineal
Eastern Ojibwa,east2542,Patrilineal
Kaska,kask1239,Matrilineal
Ottawa,otta1242,Patrilineal
Mi'kmaq,mikm1235,Bilateral
Potawatomi,pota1247,Patrilineal
Netsilik,nets1241,Bilateral
Nunavimmiut,queb1248,Bilateral
Mistissini Cree,sout2978,Bilateral
Naskapi,nask1242,Bilateral
Nunivak,kusk1241,Quasi-lineages
Attawapiskat Cree,swam1239,Quasi-lineages
Deg Xit'an,dege1248,Bilateral
Aleut,east2533,Quasi-lineages
Haida,nort2938,Matrilineal
Alkatcho,sout2958,Ambilineal
Nuu chah nulth,nuuc1236,Bilateral
Klahoose,slia1241,Bilateral
Squamish,squa1248,Bilateral
Comox,isla1276,Ambilineal
Lummi,lumm1243,Bilateral
Klallam,clal1241,Bilateral
Puyallup,sout2965,Bilateral
Quileute,quil1240,Bilateral
Lower Chinook,chin1286,Bilateral
Twana,twan1247,Bilateral
Tillamook,till1254,Bilateral
Coos,coos1249,Bilateral
Tlingit,tlin1245,Matrilineal
Heiltsuk,bell1263,Ambilineal
Makah,maka1318,Ambilineal
Quinault,quin1251,Bilateral
Cowichan,cowi1241,Bilateral
Stó:lō,chil1281,Bilateral
Alsea,alse1251,Bilateral
Siuslaw,sius1254,Bilateral
Kwakwaka'wakw,kwak1269,Ambilineal
Takelma,take1257,Bilateral
Tututni,tutu1242,Patrilineal
Shasta,shas1239,Bilateral
Chimariko,chim1301,Bilateral
Karuk,karo1304,Bilateral
Hupa,hupa1239,Bilateral
Wiyot,wiyo1248,Bilateral
Lassik,wail1244,Bilateral
Mattole-Bear River,matt1238,Bilateral
Sinkyone,wail1244,Bilateral
Yurok,yuro1248,Bilateral
Eyak,eyak1241,Matrilineal
Tolowa,tolo1259,Patrilineal
Tsimshian,nucl1649,Matrilineal
Haisla,hais1244,Matrilineal
Nuxalk,bell1243,Ambilineal
Nomlaki,noml1242,Patrilineal
Achumawi,achu1247,Bilateral
Yana,yana1271,Bilateral
Maidu,nort2952,Bilateral
Nisenan,nise1244,Bilateral
Wintu,nucl1651,Bilateral
Coast Yuki,yuki1243,Bilateral
Huchnom,yuki1243,Bilateral
Northern Pomo,nort2966,Bilateral
Eastern Pomo,east2545,Bilateral
Southern Pomo,sout2984,Bilateral
Tübalulabal,tuba1278,Bilateral
Wappo,wapp1239,Bilateral
Lake Miwok,lake1258,Bilateral
Patwin,patw1250,Patrilineal
Western Mono,mono1275,Patrilineal
Southern Valley Yokuts,vall1251,Patrilineal
Wukchumni,tule1245,Patrilineal
Salinan,sali1253,Patrilineal
Kawaiisu,kawa1283,Bilateral
Chumash,cruz1243,Patrilineal
Tongva,tong1329,Patrilineal
Northern Foothill Yokuts,nort2937,Patrilineal
Serrano,serr1255,Patrilineal
Cahuilla (Desert),cahu1264,Patrilineal
Cupeño,cupe1243,Patrilineal
Luiseño,luis1253,Patrilineal
Kiliwa,kili1268,Patrilineal
Atsugewi,atsu1245,Bilateral
Central Sierra Miwok,cent2140,Patrilineal
Kumeyaay,kumi1248,Patrilineal
Yuki,yuki1243,Bilateral
Klamath,klam1254,Bilateral
Modoc,klam1254,Bilateral
Tenino,teni1238,Bilateral
Nlaka'pamux,thom1243,Bilateral
Shuswap,shus1248,Bilateral
Bitterroot Salish,kali1309,Bilateral
Kalispel,kali1309,Bilateral
Coeur d’Alene,coeu1236,Bilateral
Sinkaitk,sout2963,Bilateral
Wenatchi,wena1241,Bilateral
Klikitat,nucl1237,Bilateral
Wishram,wasc1239,Bilateral
Umatilla,umat1237,Bilateral
Southern Ute,utee1244,Bilateral
Nez Perce,nezp1238,Bilateral
Tagotoka,nort1551,Bilateral
Wadadokado,nort1551,Bilateral
Atsakudokwa,nort1551,Bilateral
Kidutokado,nort1551,Bilateral
Sawakudokwa,nort1551,Bilateral
Wadatkuht,sout2967,Bilateral
Kuyuidokado,sout2967,Bilateral
Toedokado,sout2967,Bilateral
Tunava (Deep Springs and Fish Lake),mono1275,Bilateral
Havasupai,hava1249,Quasi-lineages
Eastern Mono,mono1275,Bilateral
Koso,pana1305,Bilateral
Tümpisa Shoshone (Saline and Panamint),pana1305,Bilateral
Beatty,pana1305,Bilateral
Lida Shoshoni,west2622,Bilateral
Mahaguaduka,west2622,Bilateral
Wiyambituka,west2622,Bilateral
Railroad Valley Shoshoni,west2622,Bilateral
Ely Shoshoni,west2622,Bilateral
Spring Valley Shoshoni,west2622,Bilateral
Sanpoil,sanp1257,Bilateral
Tubaduka,west2622,Bilateral
Wadaduka,west2622,Bilateral
Elko Shoshoni,west2622,Bilateral
White Knife Shoshoni,west2622,Bilateral
Yahanduka,west2622,Bilateral
Bohogue,nort2955,Bilateral
Agaiduka,nort2955,Bilateral
Tukudika,nort2955,Bilateral
Gosiute,gosi1242,Bilateral
Antarianunts,utee1244,Bilateral
Hukundika,nort2955,Bilateral
Panguitch,utee1244,Bilateral
Moapa,sout2969,Bilateral
Shivwits,sout2969,Bilateral
Southern Paiute (Kaibab),sout2969,Bilateral
Chemehuevi,chem1251,Bilateral
Southern Paiute (Las Vegas),sout2969,Bilateral
San Juan,sout2969,Bilateral
Pahvant,utee1244,Bilateral
Uintah Ute,utee1244,Bilateral
Moanunts,utee1244,Bilateral
Washo,wash1253,Bilateral
Moache,utee1244,Bilateral
Taviwatsiu,utee1244,Bilateral
Uncompahgre Ute,utee1244,Bilateral
Bannock,bann1248,Bilateral
Wind River Eastern Shoshone,nort2955,Bilateral
Hualapai,wala1270,Bilateral
Yavapai,yava1252,Bilateral
Tolkepaya,yava1252,Bilateral
Kutenai,kute1249,Bilateral
Chilcotin,chil1280,Bilateral
Lillooet,lill1248,Bilateral
Gros Ventre,gros1243,Bilateral
Arikara,arik1262,Bilateral
Assiniboine,assi1247,Bilateral
Blackfoot,pieg1239,Bilateral
Kainai,bloo1239,Bilateral
Bungi,west1510,Patrilineal
Hidatsa,hida1246,Matrilineal
Karankawa,kara1289,Bilateral
Kiowa,kiow1266,Bilateral
Piegan,pieg1239,Bilateral
Plains Cree,plai1258,Bilateral
Kiowa Apache,kiow1264,Bilateral
Santee,dako1258,Bilateral
Coahuilteco,coah1252,Bilateral
Comanche,coma1245,Bilateral
Crow,crow1244,Matrilineal
Cheyenne,chey1247,Bilateral
Mandan,mand1446,Matrilineal
Sarcee,sars1236,Bilateral
Teton,lako1247,Bilateral
Arapaho,arap1274,Bilateral
Iowa,iowa1246,Patrilineal
Otoe,otoo1241,Patrilineal
Ponca,ponc1241,Patrilineal
Shawnee,shaw1249,Patrilineal
Caddo,cadd1256,Bilateral
Kickapoo,kick1244,Patrilineal
Ho Chunk,hoch1243,Patrilineal
Omaha,omah1248,Patrilineal
Myaamia,miam1252,Patrilineal
Wichita,wich1260,Bilateral
Pawnee,pawn1254,Matrilineal
Fox,mesk1242,Mixed
Hasinai,cadd1256,Bilateral
Menominee,meno1252,Patrilineal
Huron,wyan1247,Matrilineal
Seneca,sene1264,Mixed
Yuchi,yuch1247,Matrilineal
Choctaw,choc1276,Matrilineal
Abenaki,peno1243,Bilateral
Chickasaw,chic1270,Matrilineal
Chitimacha,chit1248,Bilateral
Seminole,mika1239,Matrilineal
Muscogee,cree1270,Matrilineal
Penobscot,peno1243,Bilateral
Cherokee,cher1273,Matrilineal
Delaware,unam1242,Matrilineal
Natchez,natc1249,Bilateral
Timucua,timu1245,Matrilineal
Catawba,cata1286,Bilateral
Chiricahua,mesc1238,Bilateral
Isleta,sout2961,Bilateral
San Ildefonso,sani1273,Bilateral
Santa Ana,sant1426,Matrilineal
Acoma,acom1246,Matrilineal
Laguna,acom1246,Matrilineal
Mescalero,mesc1238,Bilateral
Jicarilla,jica1244,Bilateral
Western Apache,west2615,Matrilineal
Hopi,hopi1249,Matrilineal
Cocopa,coco1261,Patrilineal
Hano,ariz1237,Matrilineal
Kamia,kumi1248,Patrilineal
Mojave,moha1256,Patrilineal
Quechan,quec1382,Patrilineal
Kewyipaya,yava1252,Matrilineal
Lipan Apache,lipa1241,Bilateral
Sia,ziaa1251,Matrilineal
Santa Clara,sant1421,Bilateral
Kewa,sant1425,Matrilineal
Navajo,nava1243,Matrilineal
Zuni,zuni1245,Matrilineal
Maricopa,mari1440,Patrilineal
Taos,taos1236,Bilateral
Cochiti,coch1273,Matrilineal
Jemez,jeme1245,Matrilineal
Picuris,picu1248,Bilateral
Tarahumara,cent2131,Bilateral
Tohono O'odham,toho1246,Bilateral
Huichol,huic1243,Bilateral
Seri,seri1257,Bilateral
Chichimeca,chic1272,Bilateral
Pima,akim1239,Bilateral
Yaqui,yaqu1251,Bilateral
Opata,opat1246,Bilateral
Tepehuán,nort2959,Bilateral
Chinantec,ojit1237,Bilateral
Zapotec,yala1267,Bilateral
Huastec,huas1242,Bilateral
Mixtec,juxt1235,Bilateral
Otomí,mezq1235,Bilateral
Tequistlatec,high1242,Patrilineal
Aztec,clas1250,Ambilineal
Sierra Popoluca,high1276,Bilateral
Totonac,papa1238,Bilateral
Mazateco,huau1238,Bilateral
Huave,sanm1287,Bilateral
Mixe,isth1238,Bilateral
Tarasco,pure1242,Bilateral
Tlaxcalans,cent2132,Patrilineal
Guna,sanb1242,Bilateral
Lacandon,laca1243,Patrilineal
Kaqchikel,kaqc1270,Patrilineal
Lenca,lenc1242,Bilateral
K'iche',kich1262,Patrilineal
Ngäbe,ngab1239,Matrilineal
Jakaltek,popt1235,NA
Tolupan,toll1241,Bilateral
Poqomam,poqo1253,Patrilineal
Tzeltal,tzel1254,Patrilineal
Ch'orti',chor1273,Bilateral
Emberá,nort2972,Bilateral
Bribri,brib1243,Matrilineal
Yucatec Maya,yuca1254,Patrilineal
Garifuna,gari1256,Ambilineal
Mam,mamm1241,Patrilineal
Miskito,misk1235,Bilateral
Callinago,isla1278,Matrilineal
Cágaba,cogu1240,Bilateral
Barí (Motilon),yukp1241,Quasi-lineages
Cariña,taba1267,Bilateral
Paraujano,para1316,Bilateral
Wayuu,wayu1243,Matrilineal
Yupa,yukp1241,Bilateral
Taíno,tain1254,NA
Haitians,hait1244,Bilateral
Warao,wara1303,Bilateral
Lokono,araw1276,Matrilineal
Camaracoto,cama1252,Bilateral
Macushi,macu1259,Bilateral
Panare,enap1235,Bilateral
Rucuyen,waya1269,Bilateral
Taulípang,taul1252,Bilateral
Ye'kuana,maqu1238,Bilateral
Piapoco,piap1246,Bilateral
Ndyuka,ndyu1242,Matrilineal
Pumé,pume1238,Bilateral
Barama River Carib,mura1272,Quasi-lineages
Guahibo,guah1255,Bilateral
Wapishana,wapi1253,Bilateral
Saramaccan,sara1340,Matrilineal
Yabarana,yaba1248,Bilateral
Piaroa,piar1243,Bilateral
Curripaco,curr1243,Bilateral
Munduruku,mund1330,Patrilineal
Tapirapé,tapi1254,Bilateral
Palikur,pali1279,Patrilineal
Guaica,yano1262,Bilateral
Sateré Mawé,sate1243,Patrilineal
Shiriana,nina1238,Bilateral
Wai-wai,waiw1244,Bilateral
Sanema,sanu1240,Bilateral
Yanomami,yano1261,Bilateral
Sirionó,siri1273,Bilateral
Cocama,coca1259,Patrilineal
Chácobo,chac1251,Bilateral
Tucano,tuca1252,Patrilineal
Ticuna,ticu1245,Patrilineal
Shuar,shua1257,Bilateral
Yagua,yagu1244,Patrilineal
Cubeo,cube1242,Patrilineal
Witoto,muru1274,Patrilineal
Camba,chiq1248,Bilateral
Amahuaca,amah1246,Bilateral
Shipibo-Conibo,ship1254,Bilateral
Inca,cusc1236,Bilateral
Aymara,cent2142,Patrilineal
Chachi,chac1249,Bilateral
U'wa,cent2150,Bilateral
Páez,paez1247,Bilateral
Muisca,chib1270,Bilateral
Asháninka,ajyi1238,Bilateral
Piro,yine1238,Bilateral
Uru,uruu1244,Bilateral
Yahgan,yama1264,Bilateral
Mapuche,mapu1245,Patrilineal
Ona,onaa1245,Bilateral
Tehuelche,tehu1242,Bilateral
Alacaluf,qawa1238,Bilateral
Wichí,wich1264,Bilateral
Terena,tere1279,Ambilineal
Abipón,abip1241,Bilateral
Kadiwéu,kadi1248,Bilateral
Choroti,iyow1239,Bilateral
Chamacoco,cham1315,Bilateral
Guaraní,east2555,Bilateral
Toba,toba1269,Bilateral
Lengua,nort2971,Bilateral
Bororo,boro1282,Matrilineal
Kuikuru,kuik1246,Bilateral
Trumai,trum1247,Quasi-lineages
Bacairi,baka1277,Quasi-lineages
Nambikwara,sout2994,Bilateral
Kamayurá,kama1373,Bilateral
Guató,guat1253,Bilateral
Paresi,pare1272,Bilateral
Umotina,umot1240,Bilateral
Aweti,awet1244,Bilateral
Carajá,kara1500,Bilateral
Cayua,mbya1239,Bilateral
Shavante,xava1240,Patrilineal
Sherente,xere1240,Patrilineal
Aweikoma,xokl1240,Bilateral
Canela,cane1242,Matrilineal
Aimoré,kren1239,Bilateral
Tenetehara,temb1276,Bilateral
Apinaye,apin1244,NA
Tupinambá,tupi1273,Bilateral
Kayapo,kaya1330,Bilateral
