pref_name_for_society,glottocode,Value
Nanai,nana1257,Maternal only
Koreans,kore1280,No first cousins
Shantung,mand1415,Trilateral
Ishigakians,yaey1239,NA
Man,kimm1245,NA
Miyakans,miya1259,NA
Chekiang,wuch1236,Cross-cousin
Cantonese,yuec1235,Trilateral
Lolo,sich1238,Cross-cousin
Manchu,manc1252,Cross-cousin
Miao,horn1235,Cross-cousin
Japanese,nucl1643,Trilateral
Min Chinese,chao1239,Maternal only
Okinawans,cent2126,Only second cousins
Minchia,cent2004,Any first cousins
Li,hlai1239,NA
Adi,bori1243,Matrilateral cross only
Burusho,buru1296,No first cousins
Lepcha,lepc1244,No first/second cousins
Central Tibetans,dbus1238,Trilateral
Shina,shin1264,No first cousins
Sherpa,sher1255,Only second cousins
Kachari,kach1279,NA
Magar,west2418,Matrilateral cross only
Santal,sant1410,No first cousins
Bihari,mait1250,No first cousins
Uttar Pradesh,bhoj1244,NA
Bengali,beng1280,No first/second cousins
Indo-Iranian,sans1269,No first/second cousins
Ho,hooo1248,Matrilateral cross only
Bhil,bhil1251,No first/second cousins
Kurukh,kuru1302,No first cousins
Pahari,maha1287,No first cousins
Kashmiri,kash1277,Any first cousins
Gujarati,guja1252,Cross-cousin
Chenchu,chen1255,Cross-cousin
Telugu,telu1262,Cross-cousin
Koya,koya1251,Cross-cousin
Khond,kuii1252,Cross-cousin
Muria Gond,west2408,Cross-cousin
Reddi,mukh1238,Cross-cousin
Tamil,tami1289,Cross-cousin
Madia,mari1414,Cross-cousin
Toda,toda1252,Cross-cousin
Kodavas,koda1255,Cross-cousin
Kerala,mala1464,Cross-cousin
Hill Bhuiya,oriy1255,Cross-cousin
Kol,mund1320,No first cousins
Baiga,chha1249,Cross-cousin
Andamanese,akab1249,No first cousins
Betsileo,bets1235,No first/second cousins
Merina,meri1243,Cross-cousin
Tanala,tana1285,Cross-cousin
Vedda,vedd1240,Cross-cousin
Nicobarese,carn1240,Only second cousins
Sinhalese,sinh1246,Cross-cousin
Antandroy,tand1256,Only second cousins
Sakalava,saka1291,No first cousins
Antaisaka,tesa1236,No first cousins
Garo,garo1247,Cross-cousin
Chakma,chak1266,No first/second cousins
Aimol,aimo1244,Matrilateral cross only
Thado,thad1238,Matrilateral cross only
Angami,anga1288,NA
Ao,aona1235,No first cousins
Rengma,sout2732,Matrilateral cross only
Sema,sumi1235,Matrilateral cross only
Karbi,karb1241,NA
Palaung,shwe1236,NA
Chin,asho1236,Matrilateral cross only
Lhota,loth1237,Matrilateral cross only
Kuki,lush1249,Matrilateral cross only
Burmese,nucl1310,Any first cousins
Maras,mara1382,Maternal only
Kachin,kach1280,Matrilateral cross only
Purum,puru1266,Matrilateral cross only
Karen,pwow1235,Only second cousins
Khasi,khas1269,Cross-cousin
Mogh,rakh1245,Cross-cousin
Lamet,lame1256,Matrilateral cross only
Rade,rade1240,Cross-cousin
Cham,east2563,No first cousins
Lawa,west2396,Matrilateral cross only
Muong,muon1246,No first/second cousins
Senoi,sema1266,No first cousins
Ancient Khmer,oldk1249,NA
Negri Sembilan,nege1240,Cross-cousin
Mnong Gar,east2333,Matrilateral cross only
Semang,kens1248,No first cousins
Annamese,viet1252,No first cousins
Khmer,cent1989,Any first cousins
Moken,moke1242,NA
Akha,akha1245,No first cousins
Malays,mala1479,Any first cousins
Thai,thai1261,Any first cousins
Atayal,atay1247,No first/second cousins
Bunun,bunu1267,No first/second cousins
Puyuma,puyu1239,No first/second cousins
Sugbuanon,cebu1242,No first cousins
Badjau Tawi-Tawi,sout2918,Any first cousins
Tao,yami1254,No first cousins
Manobo,agus1235,No first/second cousins
Kalinga,lubu1243,Only second cousins
Bilaan,koro1310,NA
Bisayan,akla1241,No first/second cousins
Sagada,nort2877,Only second cousins
Ifugao,tuwa1243,No first/second cousins
Subanun,cent2089,Any first cousins
Hanunoo,hanu1241,No first/second cousins
Paiwan,paiw1248,No first/second cousins
Tagbanua,tagb1258,No first/second cousins
Bontok,cent2292,Only second cousins
Ami,amis1246,No first/second cousins
Iban,iban1264,Any first cousins
Javanese,java1254,Trilateral
Balinese,bali1278,Any first cousins
Toba Batak,bata1289,Matrilateral cross only
Kadazan-Dusun,cent2100,No first/second cousins
Minangkabau,mina1268,Cross-cousin
Mentaweians,ment1249,Trilateral
Anak Dalam,kubu1239,No first/second cousins
Punan,puna1275,No first/second cousins
Macassarese,maka1311,Any first cousins
Tobelorese,tobe1252,No first cousins
Ambonese,ambo1250,No first/second cousins
Sumbawanese,sumb1241,Any first cousins
Kodi,kodi1247,Cross-cousin
Alorese,abui1241,No first/second cousins
Belu,tetu1245,Matrilateral cross only
Rotinese,term1237,Trilateral
