language,glottocode,family,prop,n_kintypes
Yalic,yali1257,Nuclear Trans New Guinea,0.34375,32
Sunwadia,mari1426,Austronesian,0.16666666666666666,48
Yawa,nucl1454,Yawa-Saweru,0.25,48
Savosavo,savo1255,Savosavo,0.16666666666666666,48
Malapandaram,mala1468,Dravidian,0.75,28
Arabana,arab1267,Pama-Nyungan,0.3947368421052632,38
Cusco Quechua,cusc1236,NA,0.42105263157894735,38
North Ambrym,nort2839,Austronesian,0.375,24
Teko,emer1243,Tupian,0.5789473684210527,19
Akkadian,akka1240,Afro-Asiatic,0.631578947368421,19
Finnish,finn1318,Uralic,0.8333333333333334,12
Panare,enap1235,Cariban,0.3541666666666667,48
Ems-Weser Frisian,sate1242,Indo-European,0.2916666666666667,48
Solu-Khumbu Sherpa,sher1255,Sino-Tibetan,0.5416666666666666,24
Waimaha,waim1255,NA,0.5625,48
Dharumbal,dhar1248,Pama-Nyungan,0.5625,32
El Nayar Cora,elna1235,Uto-Aztecan,0.9,10
Trinitario,trin1274,Arawakan,0.4166666666666667,24
Baure,baur1253,Arawakan,0.25,24
Tapirapé,tapi1254,Tupian,0.5625,32
Mashco Piro,mash1270,Arawakan,0.2972972972972973,37
South Tuvaluan,sout2865,Austronesian,0.25,48
Yaqui,yaqu1251,Uto-Aztecan,0.7368421052631579,19
Ket,kett1243,NA,0.37142857142857144,35
Mungaka,mung1266,Atlantic-Congo,0.6206896551724138,29
Serbian Standard,serb1264,Indo-European,0.3958333333333333,48
Sanga (Democratic Republic of Congo),sang1331,Atlantic-Congo,0.3703703703703703,27
Futuna-Aniwa,futu1245,Austronesian,0.2894736842105263,38
Mahasu Pahari,maha1287,Indo-European,0.625,24
Tuscarora,tusc1257,NA,0.375,32
West Kewa,west2599,Nuclear Trans New Guinea,0.40625,32
North Saami,nort2671,Uralic,0.5416666666666666,48
Kamba (Kenya),kamb1297,Atlantic-Congo,0.3125,48
