language,glottocode,family,correlation
Maranao,mara1404,Austronesian,0.43662864532351686
Estonian,esto1258,Uralic,0.26813087340559755
Mongolian,mong1331,,0.36330304421722237
Achuar,achu1249,Chicham,0.27972737198574715
Pokomo,poko1261,Atlantic-Congo,0.1703356555655557
Ende (Papua New Guinea),ende1235,,0.3569020893080671
Pampanga,pamp1243,Austronesian,0.4376204438707978
Sundanese,sund1252,Austronesian,0.3559293221436808
Ganggalida,gang1267,,0.1533162560950989
North Marquesan,nort2845,Austronesian,0.31102323100278795
Meskwaki,mesk1242,Algic,0.2310229168365998
North Muyu,nort2916,Nuclear Trans New Guinea,0.2569292374026034
Sula,sula1245,Austronesian,0.19995452172708475
Malecite,male1293,Algic,0.20016178447249558
Old Russian,oldr1238,Indo-European,0.5604640182850431
Southwestern Alaya-Athima,kunj1248,Pama-Nyungan,0.17823139625097917
Tswana,tswa1253,Atlantic-Congo,0.24687304799401683
Balochic,balo1260,Indo-European,0.4424638256521012
Ura (Vanuatu),urav1235,Austronesian,0.2939102235009345
Yugumbir,yugu1249,Pama-Nyungan,0.3777544476474457
Waffa,waff1241,Nuclear Trans New Guinea,0.23094100936484058
Lavatbura-Lamusong,lava1239,Austronesian,0.37058269651553205
Ancient Greek,anci1242,Indo-European,0.4766600871977357
Totoli,toto1304,Austronesian,0.39539281398185777
El Nayar Cora,elna1235,Uto-Aztecan,0.3608703380386167
Djambarrpuyngu,djam1256,Pama-Nyungan,0.3015976695491974
Mokpwe,mokp1239,Atlantic-Congo,0.24807267246094214
Kwasio,kwas1243,Atlantic-Congo,0.36839303929870504
Wogeo,woge1237,Austronesian,0.29278452931971183
Kala Lagaw Ya,kala1377,Pama-Nyungan,0.2506218126022843
Colombian Sign Language,colo1249,,0.5071776493539532
Ponca,ponc1241,,0.2715541548649093
Yir-Yoront,yiry1245,Pama-Nyungan,0.24028435142663016
Panare,enap1235,Cariban,0.3102021558678282
Bunun,bunu1267,Austronesian,0.46904190159997766
Waru,waru1266,Austronesian,0.27107924946557016
Sinitic,sini1245,Sino-Tibetan,0.2128155418184541
Hidatsa,hida1246,,0.22992459247282174
Frisian,fris1239,Indo-European,0.3901181367458524
Angaité,anga1316,,0.33469906549468575
Western Farsi,west2369,Indo-European,0.45392345342191714
Varisi,vari1239,Austronesian,0.29314022570418075
Sosva Mansi,nort2677,Uralic,0.25541055007523067
Manam,mana1295,Austronesian,0.30372256118972113
Mangei,mang1407,Austronesian,0.2840233103514761
Tamambo,malo1243,Austronesian,0.28270419447313155
Indonesian Bajau,indo1317,Austronesian,0.4141944162790358
Kriol (Roper River),krio1252,Indo-European,0.18805352751440038
Ayoreo,ayor1240,,0.4414568095435997
Ottawa,otta1242,Algic,0.23875998341570456
Balinese,bali1278,Austronesian,0.3667810173395821
Waia (Bungku),waia1242,Austronesian,0.27340417506804804
Dzongkha,dzon1239,Sino-Tibetan,0.262371406243603
Amanab,aman1265,Border,0.1727032521035301
Yelmek,yelm1242,,0.17888007522874655
Sardinian,sard1257,Indo-European,0.45376480752293413
Chipewyan,chip1261,,0.4109415235946834
Galela,gale1259,North Halmahera,0.2774993477587754
Bende,bend1258,Atlantic-Congo,0.2678170360763163
Shasta,shas1239,,0.2068398990765146
Masaaba,masa1299,Atlantic-Congo,0.3093139136960071
Wari',wari1268,,0.8660254037844388
Uab Meto,uabm1237,Austronesian,0.30844780857506776
Telugu,telu1262,Dravidian,0.23253432214377462
Kayardild-Yangkaal,kaya1318,,0.26353713354286756
Kombai,komb1274,Nuclear Trans New Guinea,0.2815323128304842
Thao,thao1240,Austronesian,0.3789296542400559
Kamayurá,kama1373,Tupian,0.3031220359266692
Brunei-Sabah Malay,saba1263,Austronesian,0.4121089326294355
Northern Haida,nort2938,,0.3850382701754551
Tapirapé,tapi1254,Tupian,0.1885174935080357
Tiv,tivv1240,Atlantic-Congo,0.3410542139219865
Kumyk,kumy1244,Turkic,0.38253477439370165
Marwari (India),marw1260,Indo-European,0.3686734378328503
Meriam,meri1244,,0.25607615876853435
Bamun,bamu1253,Atlantic-Congo,0.49333352526529767
Ili'uun,iliu1237,Austronesian,0.1706127107895083
Wirangu,wira1265,Pama-Nyungan,0.2709185097651825
Mohawk,moha1258,,0.3777851784493491
Hiligaynon,hili1240,Austronesian,0.40700551116621875
Mali,mali1284,,0.24453096732885823
Palauan,pala1344,Austronesian,0.2911230852539294
Guarayu,guar1292,Tupian,0.16142164945941723
Wawonii,wawo1239,Austronesian,0.3851902653174494
Badimaya,badi1246,Pama-Nyungan,0.39109185175718864
Suundi,suun1239,Atlantic-Congo,0.3850623299356743
Kayabí,kaya1329,Tupian,0.417021847405071
Mussau-Emira,muss1246,Austronesian,0.20099474917227178
Mwotlap,motl1237,Austronesian,0.23414431485391252
Avá-Canoeiro,avac1239,Tupian,0.036723379957332845
Tirax,maee1241,Austronesian,0.3556200645583501
Lala-Bisa,lala1264,Atlantic-Congo,0.2530296737125431
Puluwatese,pulu1242,Austronesian,0.15643542925550996
Tomini,tomi1243,Austronesian,0.419905350126739
Aneityum,anei1239,Austronesian,0.3065954521219061
Tuvalu,tuva1244,Austronesian,0.36208405891772777
Weda,weda1240,Austronesian,0.4204844562966967
Rennell-Bellona,renn1242,Austronesian,0.2162644664959207
Gane,gane1237,Austronesian,0.40262757856873166
Lamba,lamb1271,Atlantic-Congo,0.23516171758403312
Movono,tang1347,Austronesian,0.554696235362335
Eel River Athabaskan,wail1244,,0.20510682920730056
Umiray Dumaget Agta,umir1236,Austronesian,0.30852869218040685
Okanagan,okan1243,Salishan,0.2562850232478575
Menui,menu1237,Austronesian,0.2704313098637967
Latvian,latv1249,Indo-European,0.4352001433319923
Vlax Romani,vlax1238,Indo-European,0.43024145572661654
Awiakay,awia1234,Arafundi,0.2121741938814522
Guugu Yimidhirr,gugu1255,Pama-Nyungan,0.18436022696733181
Zigula,zigu1242,Atlantic-Congo,0.30141670127418796
Serbian Standard,serb1264,Indo-European,0.39467906687546317
Äiwoo,ayiw1239,Austronesian,0.27446928675389015
Tasiko,tasi1237,Austronesian,0.19724796195452848
Marathi,mara1378,Indo-European,0.38697599348066897
Nuclear Woleaian,nucl1479,Austronesian,0.2556893376426476
Sirionó,siri1273,Tupian,0.1962049449765378
Buhid,buhi1245,Austronesian,0.41048364587163344
Gayo,gayo1244,Austronesian,0.31187993588853213
Bena (Tanzania),bena1262,Atlantic-Congo,0.26938819456959956
Lubuagan Kalinga,lubu1243,Austronesian,0.3890217141584634
Marshallese,mars1254,Austronesian,0.20875315847168302
Nepali,nepa1254,Indo-European,0.3333449713923592
Proto-Tupi-Guarani,tupi1239,Tupian,0.22460992737423252
Usarufa,usar1243,Nuclear Trans New Guinea,0.28999427179204573
Doutai,dout1240,Lakes Plain,0.2550420479266515
