language,glottocode,family,correlation
Baffin Inuktitut,baff1241,,0.2601238159382697
Lamaholot,lama1277,Austronesian,0.2597969488958741
Grass Koiari,gras1249,Koiarian,0.3074091987117767
Woods Cree,wood1236,Algic,0.17015177682257904
Sangu (Tanzania),sang1330,Atlantic-Congo,0.3093997499936175
Kamba (Kenya),kamb1297,Atlantic-Congo,0.3642567079668849
Urdu,urdu1245,Indo-European,0.4041722987230119
Blagar,blag1240,,0.12937648308733932
Western Panjabi,west2386,Indo-European,0.36753463919585355
Japanesic,japa1256,,0.25800312871576714
Kwoma,kwom1262,,0.17760593961298946
Kulisusu,kuli1254,Austronesian,0.3587001642854084
Itbayat,ivat1242,Austronesian,0.41860104714771423
O'du,oduu1239,Austroasiatic,0.35169822768490905
Landawe,land1259,Austronesian,0.3391459855557203
Aguaruna,agua1253,,0.4058300111885649
Gusii,gusi1247,Atlantic-Congo,0.297219517303528
Movima,movi1243,,0.3851339984719989
Inanwatan,inan1242,,0.3090729626713469
Warrnambool,warr1257,Pama-Nyungan,0.21279382796682034
Igbo,nucl1417,Atlantic-Congo,0.1880635066579685
Tausug,taus1251,Austronesian,0.39133334052718366
Kukatja,kuka1246,Pama-Nyungan,0.40946855533118065
Central Kurdish,cent1972,Indo-European,0.273867877552231
Yindjibarndi,yind1247,Pama-Nyungan,0.2199168210522743
Tokelau,toke1240,Austronesian,0.22213382909186768
Cruzeño,cruz1243,,0.2863031445948392
Mono-Alu,mono1273,Austronesian,0.32993901866981123
Cotabato Manobo,cota1241,Austronesian,0.34493285302107324
Tlingit,tlin1245,,0.2885097027690605
Sanskrit,sans1269,Indo-European,0.26421201830895136
Isnag,isna1241,Austronesian,0.42111153153065956
Bau-Jagoi Bidayuh,baub1235,Austronesian,0.3981838408660718
Nguna,ngun1274,Austronesian,0.22180736142860016
Tahitian,tahi1242,Austronesian,0.36926668254481765
Fore,fore1270,Nuclear Trans New Guinea,0.21262818942573927
Gujarati,guja1252,Indo-European,0.4176417298170012
Niuean,niue1239,Austronesian,0.4449061925527898
Ibaloi,ibal1244,Austronesian,0.4024746477002539
Cimbala-Cizali,sans1272,Atlantic-Congo,0.4287961586379377
Gilbertese,gilb1244,Austronesian,0.37255101576665406
Namakura,nama1268,Austronesian,0.29878697569431445
Yerukula,yeru1240,Dravidian,0.2935584881517144
Cogui,cogu1240,,0.402336397432284
West Coast Bajau,west2560,Austronesian,0.4069926583326392
Cofán,cofa1242,,0.4264515914171177
Ingush,ingu1240,Nakh-Daghestanian,0.3932199833635479
Wik-Mungkan,wikm1247,Pama-Nyungan,0.20362223505081253
Dutch,dutc1256,Indo-European,0.3901697265394078
Sanga (Democratic Republic of Congo),sang1331,Atlantic-Congo,0.42055806377287047
Mairasi,nucl1594,Mairasic,0.2712169559956481
Lengua,leng1262,,0.3665306126853709
Sindhi,sind1272,Indo-European,0.3442767712541468
Kabaena,kaba1285,Austronesian,0.28094451745374505
Kwamera,kwam1252,Austronesian,0.24357453316364203
Hanunoo,hanu1241,Austronesian,0.3843244284163907
Owa,owaa1237,Austronesian,0.2708585130032421
Wipi,wipi1242,,0.3492973244666077
Degexit'an,dege1248,,0.44369214607892443
Yidiñ,yidi1250,Pama-Nyungan,0.2492742233741547
Guajá,guaj1256,Tupian,0.13036444249903537
Eastern Armenian,nucl1235,Indo-European,0.40861751587199546
Burmese,nucl1310,Sino-Tibetan,0.4149484968567987
Kutenai,kute1249,,0.15225570732700192
Torres Strait Creole,torr1261,Indo-European,0.3939961583318433
Eipomek,eipo1242,Nuclear Trans New Guinea,0.22122672337448357
Duala,dual1243,Atlantic-Congo,0.2881569020125838
Luba-Lulua,luba1249,Atlantic-Congo,0.4262089236589958
South Saami,sout2674,Uralic,0.33165234486559747
Kaurna,kaur1267,Pama-Nyungan,0.307996193658958
Miani,mian1254,Nuclear Trans New Guinea,0.20533109144715694
Haya,haya1250,Atlantic-Congo,0.24617303452393946
Daakie,port1286,Austronesian,0.21620589135063764
Duna,duna1248,,0.19023182584502818
Nahavaq,sout2857,Austronesian,0.3311973380969205
Sougb,mani1235,,0.3426964881902395
Middle High German,midd1343,Indo-European,0.2823462115084165
Kiput,kipu1237,Austronesian,0.4723870265220065
Puyuma,puyu1239,Austronesian,0.39259780765904634
Cheyenne,chey1247,Algic,0.23290965965268556
Navajo,nava1243,,0.39815938004221185
Bilua,bilu1245,Bilua,0.3499396165600643
Spanish,stan1288,Indo-European,0.49880585987249076
Bontok,bont1247,Austronesian,0.31495567784827183
Herero,here1253,Atlantic-Congo,0.3400782069016151
Watam,wata1253,Lower Sepik-Ramu,0.29434263375460235
Moni,moni1261,Nuclear Trans New Guinea,0.30035301819035065
Tabla,tabl1243,Sentanic,0.22057343638949856
Riantana,rian1263,,0.3655489788195758
Tubuai,tubu1240,Austronesian,0.3571901661869915
Lo-Toga,loto1240,Austronesian,0.3076967923195004
Au,auuu1241,Nuclear Torricelli,0.27953583507066426
Bilibil,bilb1241,Austronesian,0.12147917002892873
Mafea,mafe1237,Austronesian,0.17510871276326517
Netsilik,nets1241,Eskimo-Aleut,0.15319516253645263
Ngarluma,ngar1287,Pama-Nyungan,0.23374714884212838
Tehuelche,tehu1242,,0.4095201592648384
Trinitario,trin1274,Arawakan,0.44194788418220354
Lelepa,lele1267,Austronesian,0.32529179061828883
Bindal-Mount Elliot,bind1236,Pama-Nyungan,0.4347194633077795
Ngalkbun,ngal1292,,0.2597188523750893
Batanga,bata1285,Atlantic-Congo,0.4413480498668354
Luguru,lugu1238,Atlantic-Congo,0.18371167687189596
Hausa,haus1257,Afro-Asiatic,0.3650455118285144
