glottocode,language,estimated_number_of_speakers,family,prop,n_kintypes,log_pop
samo1305,Samoan,200000,Austronesian,0.2619047619047619,42,17.609640474436812
sana1298,Sanapaná,980,NA,0.30434782608695654,46,9.936637939002571
sate1242,Ems-Weser Frisian,960,Indo-European,0.2916666666666667,48,9.906890595608518
savo1255,Savosavo,2400,Savosavo,0.16666666666666666,48,11.228818690495881
seke1241,Seke (Vanuatu),300,Austronesian,0.22916666666666663,48,8.228818690495881
serb1264,Serbian Standard,7890000,Indo-European,0.3958333333333333,48,22.911593869562907
seri1257,Seri,900,NA,0.3333333333333333,42,9.813781191217037
shii1238,Shi,650000,Atlantic-Congo,0.4047619047619048,42,19.310080192577903
ship1254,Shipibo-Conibo,26000,Pano-Tacanan,0.3958333333333333,48,14.66622400280318
sika1261,Sikaiana,730,Austronesian,0.16666666666666666,48,9.51175265376738
sind1272,Sindhi,38400000,Indo-European,0.6875,48,25.194602975157967
sion1247,Siona-Tetete,500,NA,0.3333333333333333,42,8.965784284662087
siri1273,Sirionó,500,Tupian,0.2391304347826087,46,8.965784284662087
slov1268,Slovenian,1800000,Indo-European,0.3333333333333333,48,20.779565475879124
slov1269,Slovak,4900000,Indo-European,0.3541666666666667,48,22.22435031855202
soga1242,Soga,2300000,Atlantic-Congo,0.375,48,21.133202430493824
song1299,Nsong,7100,Atlantic-Congo,0.2272727272727273,44,12.793603309279407
sout1528,Serbian-Croatian-Bosnian,19000000,Indo-European,0.4375,48,24.17949608276776
sout2859,Southeast Ambrym,3700,Austronesian,0.2926829268292683,41,11.853309555403674
sout2976,Southeastern Tepehuan,36000,Uto-Aztecan,0.30434782608695654,46,15.1357092861044
stan1288,Spanish,468360000,Indo-European,0.375,48,28.80304262770956
stan1289,Catalan,8539000,Indo-European,0.3333333333333333,48,23.02563569543289
stan1290,French,203194940,Indo-European,0.375,48,27.59828923538319
stan1293,English,1267445366,Indo-European,0.3125,48,30.23927641431181
stan1295,German,91739000,Indo-European,0.3333333333333333,48,26.451031845635075
sund1252,Sundanese,32000000,Austronesian,0.3541666666666667,48,24.931568569324174
suru1262,Suruí,1000,Tupian,0.29545454545454547,44,9.965784284662087
swed1254,Swedish,12226000,Indo-European,0.4166666666666667,48,23.543449136426933
tabl1243,Tabla,3800,Sentanic,0.2708333333333333,48,11.89178370321831
tady1237,Tadyawan,4200,Austronesian,0.25,48,12.036173612553485
taje1237,Taje,350,Austronesian,0.25,48,8.451211111832329
taji1246,Tajio,12000,Austronesian,0.25,48,13.550746785383243
taku1257,Takuu,1800,Austronesian,0.2391304347826087,46,10.813781191217037
tali1259,Talise,13000,Austronesian,0.16666666666666666,48,13.66622400280318
tami1289,Tamil,81530000,Dravidian,0.75,48,26.280827679228626
taus1251,Tausug,1200000,Austronesian,0.20833333333333337,48,20.194602975157967
tele1256,Telefol,5400,Nuclear Trans New Guinea,0.4166666666666667,48,12.398743691938193
telu1262,Telugu,95000000,Dravidian,0.4583333333333333,48,26.50142417765512
tenh1241,Tenharim-Parintintin-Diahoi,870,Tupian,0.3409090909090909,44,9.76487159073609
thao1240,Thao,5,Austronesian,0.21428571428571427,42,2.321928094887362
tiko1237,Tikopia,3300,Austronesian,0.22916666666666663,48,11.688250309133178
tivv1240,Tiv,3400000,Atlantic-Congo,0.20454545454545456,44,21.69710331568715
toab1237,To'abaita,13000,Austronesian,0.1276595744680851,47,13.66622400280318
toba1269,Toba,41000,NA,0.3333333333333333,48,15.32333628928017
toca1235,Tocantins Asurini,1500,Tupian,0.4130434782608696,46,10.550746785383243
toda1252,Toda,1600,Dravidian,0.5238095238095238,42,10.643856189774725
toke1240,Tokelau,1300,Austronesian,0.2916666666666667,48,10.344295907915816
tokp1240,Tok Pisin,5200000,Indo-European,0.17391304347826086,46,22.310080192577903
tola1247,Tolaki,350000,Austronesian,0.1875,48,18.416995396494414
tomb1243,Tombulu,60000,Austronesian,0.3541666666666667,48,15.872674880270605
tomi1243,Tomini,30000,Austronesian,0.25,48,14.872674880270605
tong1325,Tonga (Tonga Islands),100000,Austronesian,0.3125,48,16.609640474436812
toor1238,Tooro,820000,Atlantic-Congo,0.3636363636363637,44,19.645264384167533
torr1261,Torres Strait Creole,6000,Indo-European,0.25,48,12.550746785383243
tosk1239,Northern Tosk Albanian,1800000,Indo-European,0.3333333333333333,48,20.779565475879124
toto1304,Totoli,25000,Austronesian,0.2916666666666667,48,14.609640474436812
touo1238,Touo,1900,Touo,0.3125,48,10.89178370321831
tson1249,Tsonga,2500000,Atlantic-Congo,0.3333333333333333,48,21.253496664211536
tswa1253,Tswana,6000000,Atlantic-Congo,0.5,42,22.516531070045332
tuca1252,Tucano,11600,NA,0.6744186046511628,43,13.501837184902296
tuva1244,Tuvalu,9900,Austronesian,0.3333333333333333,48,13.273212809854334
tuyu1244,Tuyuca,1000,NA,0.3695652173913043,46,9.965784284662087
tzel1254,Tzeltal,370000,NA,0.3720930232558139,43,18.4971657451784
uabm1237,Uab Meto,720000,Austronesian,0.380952380952381,42,19.457637380991763
ukra1253,Ukrainian,29000000,Indo-European,0.4772727272727273,44,24.789549564451747
urdu1245,Urdu,288000000,Indo-European,0.6875,48,28.101493570766486
waim1255,Waimaha,500,NA,0.5625,48,8.965784284662087
wall1255,Walloon,680000,Indo-European,0.3181818181818182,44,19.37517522079979
wamb1258,Wambayan,43,NA,0.4772727272727273,44,5.426264754702098
waor1240,Waorani,1600,NA,0.37777777777777777,45,10.643856189774725
wapi1253,Wapishana,13000,Arawakan,0.3541666666666667,48,13.66622400280318
warl1254,Warlpiri,2500,Pama-Nyungan,0.3958333333333333,48,11.287712379549449
waur1244,Waurá,320,Arawakan,0.3541666666666667,48,8.321928094887362
wayu1243,Wayuu,130000,Arawakan,0.22916666666666663,48,16.98815209769054
wels1247,Welsh,850000,Indo-European,0.3333333333333333,48,19.69710331568715
west2369,Western Farsi,12000000,Indo-European,0.625,48,23.516531070045332
west2386,Western Panjabi,113000000,Indo-European,0.3958333333333333,48,26.751747531739362
west2555,Western Bukidnon Manobo,15000,Austronesian,0.1875,48,13.872674880270605
west2559,Western Tawbuid,14000,Austronesian,0.2708333333333333,48,13.77313920671969
west2615,Western Apache,14000,NA,0.3333333333333333,48,13.77313920671969
wira1262,Wiradhuri,30,Pama-Nyungan,0.4047619047619048,42,4.906890595608519
xibe1242,Xibe,30000,NA,0.5416666666666666,48,14.872674880270605
yabe1254,Yabem,2100,Austronesian,0.375,48,11.036173612553485
yaka1277,Yakan,110000,Austronesian,0.20833333333333337,48,16.747143998186747
yele1255,Yele,3800,Yele,0.2916666666666667,48,11.89178370321831
yomb1244,Yombe,670000,Atlantic-Congo,0.3181818181818182,44,19.35380157000722
zulu1248,Zulu,14000000,Atlantic-Congo,0.3333333333333333,48,23.73892349138178
