Name,Glottocode,Value,settlement_type,Settlement_Type
Mambila,came1252,Hamlets,Small settlements,Small settlements
Margi,marg1265,Hamlets,Small settlements,Small settlements
Gure,gbir1241,Hamlets,Small settlements,Small settlements
Mafa,mafa1239,Hamlets,Small settlements,Small settlements
Bafute,vute1244,Villages/towns,Large settlements,Large settlements
Anaguta,igut1238,Hamlets,Small settlements,Small settlements
Banda,west2458,Dispersed homesteads,Small settlements,Small settlements
Otoro,otor1240,Hamlets,Small settlements,Small settlements
Mangbetu,nucl1420,Dispersed homesteads,Small settlements,Small settlements
Fali,sout2782,Hamlets,Small settlements,Small settlements
Laka,laka1254,Villages/towns,Large settlements,Large settlements
Mbum,mbum1254,Dispersed homesteads,Small settlements,Small settlements
Mundang,mund1325,Villages/towns,Large settlements,Large settlements
Namshi,doya1240,Villages/towns,Large settlements,Large settlements
Gisiga,sout3051,Villages/towns,Large settlements,Large settlements
Kotoko,lagw1237,Villages/towns,Large settlements,Large settlements
Musgu,musg1254,Villages/towns,Large settlements,Large settlements
Nyaro,kooo1244,NA,NA,NA
Tupuri,tupu1244,Dispersed homesteads,Small settlements,Small settlements
Bagirmi,bagi1246,Villages/towns,Large settlements,Large settlements
Sara,sarr1246,Dispersed homesteads,Small settlements,Small settlements
Bwaka,ngba1284,Villages/towns,Large settlements,Large settlements
Mandja,manz1243,Dispersed homesteads,Small settlements,Small settlements
Mbandja,mban1263,Villages/towns,Large settlements,Large settlements
Ngbandi,nort2774,Villages/towns,Large settlements,Large settlements
Abarambo,bara1361,Dispersed homesteads,Small settlements,Small settlements
Popoi,popo1291,Villages/towns,Large settlements,Large settlements
Lendu,lend1245,Villages/towns,Large settlements,Large settlements
Azande,zand1248,Dispersed homesteads,Small settlements,Small settlements
Lese,lese1243,Villages/towns,Large settlements,Large settlements
Logo,logo1259,Dispersed homesteads,Small settlements,Small settlements
Lugbara,lugb1240,Hamlets,Small settlements,Small settlements
