Name,Glottocode,Value,settlement_type,Settlement_Type
Mangarevans,mang1401,Villages/towns,Large settlements,Large settlements
Tahitians,tahi1242,Villages/towns,Large settlements,Large settlements
Easter Islanders,rapa1244,Villages/towns,Large settlements,Large settlements
Nabesna,uppe1437,Seminomadic,Nomadic/Impermanent,Nomadic/Impermanent
Chugach,chug1254,Villages/towns,Large settlements,Large settlements
Sivokakmeit,cent2128,Villages/towns,Large settlements,Large settlements
Nunamiut,nort2944,Seminomadic,Nomadic/Impermanent,Nomadic/Impermanent
Nunatsiarmiut,baff1240,Seminomadic,Nomadic/Impermanent,Nomadic/Impermanent
Inughuit (Northern Greenland),pola1254,Seminomadic,Nomadic/Impermanent,Nomadic/Impermanent
Tlicho,dogr1252,Seminomadic,Nomadic/Impermanent,Nomadic/Impermanent
Délįne,nort2942,Nomadic,Nomadic/Impermanent,Nomadic/Impermanent
DeneTha,sout2959,Seminomadic,Nomadic/Impermanent,Nomadic/Impermanent
Dakelh,carr1249,Semisedentary,Nomadic/Impermanent,Nomadic/Impermanent
Tareumiut,nort2944,Semisedentary,Nomadic/Impermanent,Nomadic/Impermanent
Kutchin,gwic1235,Seminomadic,Nomadic/Impermanent,Nomadic/Impermanent
Caribou Inuit,cari1277,Seminomadic,Nomadic/Impermanent,Nomadic/Impermanent
Iglulik Inuit,west2618,Seminomadic,Nomadic/Impermanent,Nomadic/Impermanent
Labrador Inuit,labr1244,Seminomadic,Nomadic/Impermanent,Nomadic/Impermanent
Tasiilaq,tunu1234,Semisedentary,Nomadic/Impermanent,Nomadic/Impermanent
Kalaallit (West Greenland),kala1399,Semisedentary,Nomadic/Impermanent,Nomadic/Impermanent
Dena'ina,tana1289,Villages/towns,Large settlements,Large settlements
Tahltan,tahl1239,Semisedentary,Nomadic/Impermanent,Nomadic/Impermanent
Sekani,seka1250,Seminomadic,Nomadic/Impermanent,Nomadic/Impermanent
Beaver,beav1236,Seminomadic,Nomadic/Impermanent,Nomadic/Impermanent
Copper Inuit,copp1244,Seminomadic,Nomadic/Impermanent,Nomadic/Impermanent
Dene,chip1261,Seminomadic,Nomadic/Impermanent,Nomadic/Impermanent
Eastern Cree,sout2978,Seminomadic,Nomadic/Impermanent,Nomadic/Impermanent
Montagnais,mont1268,Seminomadic,Nomadic/Impermanent,Nomadic/Impermanent
Northern Saulteaux,alba1270,Seminomadic,Nomadic/Impermanent,Nomadic/Impermanent
Pekangekum,lacs1238,Semisedentary,Nomadic/Impermanent,Nomadic/Impermanent
Nipigon,cent2136,Seminomadic,Nomadic/Impermanent,Nomadic/Impermanent
Minnesota Ojibwa,redl1238,Seminomadic,Nomadic/Impermanent,Nomadic/Impermanent
Rainy River Ojibwe,rain1239,Seminomadic,Nomadic/Impermanent,Nomadic/Impermanent
Katikitegon,uppe1274,Semisedentary,Nomadic/Impermanent,Nomadic/Impermanent
Eastern Ojibwa,east2542,Seminomadic,Nomadic/Impermanent,Nomadic/Impermanent
Kaska,kask1239,Seminomadic,Nomadic/Impermanent,Nomadic/Impermanent
Ottawa,otta1242,Semisedentary,Nomadic/Impermanent,Nomadic/Impermanent
Mi'kmaq,mikm1235,Seminomadic,Nomadic/Impermanent,Nomadic/Impermanent
Potawatomi,pota1247,Semisedentary,Nomadic/Impermanent,Nomadic/Impermanent
Netsilik,nets1241,Seminomadic,Nomadic/Impermanent,Nomadic/Impermanent
Nunavimmiut,queb1248,Seminomadic,Nomadic/Impermanent,Nomadic/Impermanent
Mistissini Cree,sout2978,Seminomadic,Nomadic/Impermanent,Nomadic/Impermanent
Naskapi,nask1242,Seminomadic,Nomadic/Impermanent,Nomadic/Impermanent
Nunivak,kusk1241,Semisedentary,Nomadic/Impermanent,Nomadic/Impermanent
Attawapiskat Cree,swam1239,Seminomadic,Nomadic/Impermanent,Nomadic/Impermanent
Deg Xit'an,dege1248,Seminomadic,Nomadic/Impermanent,Nomadic/Impermanent
Aleut,east2533,Villages/towns,Large settlements,Large settlements
Haida,nort2938,Villages/towns,Large settlements,Large settlements
Alkatcho,sout2958,Semisedentary,Nomadic/Impermanent,Nomadic/Impermanent
Nuu chah nulth,nuuc1236,Semisedentary,Nomadic/Impermanent,Nomadic/Impermanent
Klahoose,slia1241,Semisedentary,Nomadic/Impermanent,Nomadic/Impermanent
Squamish,squa1248,Semisedentary,Nomadic/Impermanent,Nomadic/Impermanent
Comox,isla1276,Semisedentary,Nomadic/Impermanent,Nomadic/Impermanent
Lummi,lumm1243,Seminomadic,Nomadic/Impermanent,Nomadic/Impermanent
Klallam,clal1241,Seminomadic,Nomadic/Impermanent,Nomadic/Impermanent
Puyallup,sout2965,Semisedentary,Nomadic/Impermanent,Nomadic/Impermanent
Quileute,quil1240,Villages/towns,Large settlements,Large settlements
Lower Chinook,chin1286,Villages/towns,Large settlements,Large settlements
Twana,twan1247,Semisedentary,Nomadic/Impermanent,Nomadic/Impermanent
Tillamook,till1254,Villages/towns,Large settlements,Large settlements
Coos,coos1249,Villages/towns,Large settlements,Large settlements
Tlingit,tlin1245,Semisedentary,Nomadic/Impermanent,Nomadic/Impermanent
Heiltsuk,bell1263,Semisedentary,Nomadic/Impermanent,Nomadic/Impermanent
Makah,maka1318,Semisedentary,Nomadic/Impermanent,Nomadic/Impermanent
Quinault,quin1251,Seminomadic,Nomadic/Impermanent,Nomadic/Impermanent
Cowichan,cowi1241,Semisedentary,Nomadic/Impermanent,Nomadic/Impermanent
Stó:lō,chil1281,Semisedentary,Nomadic/Impermanent,Nomadic/Impermanent
Alsea,alse1251,Villages/towns,Large settlements,Large settlements
Siuslaw,sius1254,Villages/towns,Large settlements,Large settlements
Kwakwaka'wakw,kwak1269,Villages/towns,Large settlements,Large settlements
Takelma,take1257,Seminomadic,Nomadic/Impermanent,Nomadic/Impermanent
Tututni,tutu1242,Semisedentary,Nomadic/Impermanent,Nomadic/Impermanent
Shasta,shas1239,Semisedentary,Nomadic/Impermanent,Nomadic/Impermanent
Chimariko,chim1301,Villages/towns,Large settlements,Large settlements
Karuk,karo1304,Villages/towns,Large settlements,Large settlements
Hupa,hupa1239,Villages/towns,Large settlements,Large settlements
Wiyot,wiyo1248,Villages/towns,Large settlements,Large settlements
Lassik,wail1244,Seminomadic,Nomadic/Impermanent,Nomadic/Impermanent
Mattole-Bear River,matt1238,Villages/towns,Large settlements,Large settlements
Sinkyone,wail1244,Villages/towns,Large settlements,Large settlements
Yurok,yuro1248,Villages/towns,Large settlements,Large settlements
Eyak,eyak1241,Villages/towns,Large settlements,Large settlements
Tolowa,tolo1259,Semisedentary,Nomadic/Impermanent,Nomadic/Impermanent
Tsimshian,nucl1649,Semisedentary,Nomadic/Impermanent,Nomadic/Impermanent
Haisla,hais1244,Semisedentary,Nomadic/Impermanent,Nomadic/Impermanent
Nuxalk,bell1243,Villages/towns,Large settlements,Large settlements
Nomlaki,noml1242,Villages/towns,Large settlements,Large settlements
Achumawi,achu1247,Seminomadic,Nomadic/Impermanent,Nomadic/Impermanent
Yana,yana1271,Seminomadic,Nomadic/Impermanent,Nomadic/Impermanent
Maidu,nort2952,Semisedentary,Nomadic/Impermanent,Nomadic/Impermanent
Nisenan,nise1244,Semisedentary,Nomadic/Impermanent,Nomadic/Impermanent
Wintu,nucl1651,Seminomadic,Nomadic/Impermanent,Nomadic/Impermanent
Coast Yuki,yuki1243,Seminomadic,Nomadic/Impermanent,Nomadic/Impermanent
Huchnom,yuki1243,Seminomadic,Nomadic/Impermanent,Nomadic/Impermanent
Northern Pomo,nort2966,Seminomadic,Nomadic/Impermanent,Nomadic/Impermanent
Eastern Pomo,east2545,Semisedentary,Nomadic/Impermanent,Nomadic/Impermanent
Southern Pomo,sout2984,Seminomadic,Nomadic/Impermanent,Nomadic/Impermanent
Tübalulabal,tuba1278,Seminomadic,Nomadic/Impermanent,Nomadic/Impermanent
Wappo,wapp1239,Seminomadic,Nomadic/Impermanent,Nomadic/Impermanent
Lake Miwok,lake1258,Seminomadic,Nomadic/Impermanent,Nomadic/Impermanent
Patwin,patw1250,Seminomadic,Nomadic/Impermanent,Nomadic/Impermanent
Western Mono,mono1275,Seminomadic,Nomadic/Impermanent,Nomadic/Impermanent
Southern Valley Yokuts,vall1251,Seminomadic,Nomadic/Impermanent,Nomadic/Impermanent
Wukchumni,tule1245,Seminomadic,Nomadic/Impermanent,Nomadic/Impermanent
Salinan,sali1253,Semisedentary,Nomadic/Impermanent,Nomadic/Impermanent
Kawaiisu,kawa1283,Seminomadic,Nomadic/Impermanent,Nomadic/Impermanent
Chumash,cruz1243,Semisedentary,Nomadic/Impermanent,Nomadic/Impermanent
Tongva,tong1329,Semisedentary,Nomadic/Impermanent,Nomadic/Impermanent
Northern Foothill Yokuts,nort2937,Seminomadic,Nomadic/Impermanent,Nomadic/Impermanent
Serrano,serr1255,Seminomadic,Nomadic/Impermanent,Nomadic/Impermanent
Cahuilla (Desert),cahu1264,Seminomadic,Nomadic/Impermanent,Nomadic/Impermanent
Cupeño,cupe1243,Seminomadic,Nomadic/Impermanent,Nomadic/Impermanent
Luiseño,luis1253,Seminomadic,Nomadic/Impermanent,Nomadic/Impermanent
Kiliwa,kili1268,Seminomadic,Nomadic/Impermanent,Nomadic/Impermanent
Atsugewi,atsu1245,Seminomadic,Nomadic/Impermanent,Nomadic/Impermanent
Central Sierra Miwok,cent2140,Semisedentary,Nomadic/Impermanent,Nomadic/Impermanent
Kumeyaay,kumi1248,Seminomadic,Nomadic/Impermanent,Nomadic/Impermanent
Yuki,yuki1243,Semisedentary,Nomadic/Impermanent,Nomadic/Impermanent
Klamath,klam1254,Seminomadic,Nomadic/Impermanent,Nomadic/Impermanent
Modoc,klam1254,Seminomadic,Nomadic/Impermanent,Nomadic/Impermanent
Tenino,teni1238,Semisedentary,Nomadic/Impermanent,Nomadic/Impermanent
Nlaka'pamux,thom1243,Seminomadic,Nomadic/Impermanent,Nomadic/Impermanent
Shuswap,shus1248,Seminomadic,Nomadic/Impermanent,Nomadic/Impermanent
Bitterroot Salish,kali1309,Seminomadic,Nomadic/Impermanent,Nomadic/Impermanent
Kalispel,kali1309,Seminomadic,Nomadic/Impermanent,Nomadic/Impermanent
Coeur d’Alene,coeu1236,Seminomadic,Nomadic/Impermanent,Nomadic/Impermanent
Sinkaitk,sout2963,Seminomadic,Nomadic/Impermanent,Nomadic/Impermanent
Wenatchi,wena1241,Seminomadic,Nomadic/Impermanent,Nomadic/Impermanent
Klikitat,nucl1237,Seminomadic,Nomadic/Impermanent,Nomadic/Impermanent
Wishram,wasc1239,Semisedentary,Nomadic/Impermanent,Nomadic/Impermanent
Umatilla,umat1237,Seminomadic,Nomadic/Impermanent,Nomadic/Impermanent
Southern Ute,utee1244,Seminomadic,Nomadic/Impermanent,Nomadic/Impermanent
Nez Perce,nezp1238,Seminomadic,Nomadic/Impermanent,Nomadic/Impermanent
Tagotoka,nort1551,Seminomadic,Nomadic/Impermanent,Nomadic/Impermanent
Wadadokado,nort1551,Seminomadic,Nomadic/Impermanent,Nomadic/Impermanent
Atsakudokwa,nort1551,Seminomadic,Nomadic/Impermanent,Nomadic/Impermanent
Kidutokado,nort1551,Seminomadic,Nomadic/Impermanent,Nomadic/Impermanent
Sawakudokwa,nort1551,Seminomadic,Nomadic/Impermanent,Nomadic/Impermanent
Wadatkuht,sout2967,Seminomadic,Nomadic/Impermanent,Nomadic/Impermanent
Kuyuidokado,sout2967,Seminomadic,Nomadic/Impermanent,Nomadic/Impermanent
Toedokado,sout2967,Seminomadic,Nomadic/Impermanent,Nomadic/Impermanent
Tunava (Deep Springs and Fish Lake),mono1275,Seminomadic,Nomadic/Impermanent,Nomadic/Impermanent
Havasupai,hava1249,Semisedentary,Nomadic/Impermanent,Nomadic/Impermanent
Eastern Mono,mono1275,Seminomadic,Nomadic/Impermanent,Nomadic/Impermanent
Koso,pana1305,Seminomadic,Nomadic/Impermanent,Nomadic/Impermanent
Tümpisa Shoshone (Saline and Panamint),pana1305,Seminomadic,Nomadic/Impermanent,Nomadic/Impermanent
Beatty,pana1305,Seminomadic,Nomadic/Impermanent,Nomadic/Impermanent
Lida Shoshoni,west2622,Seminomadic,Nomadic/Impermanent,Nomadic/Impermanent
Mahaguaduka,west2622,Seminomadic,Nomadic/Impermanent,Nomadic/Impermanent
Wiyambituka,west2622,Seminomadic,Nomadic/Impermanent,Nomadic/Impermanent
Railroad Valley Shoshoni,west2622,Seminomadic,Nomadic/Impermanent,Nomadic/Impermanent
Ely Shoshoni,west2622,Seminomadic,Nomadic/Impermanent,Nomadic/Impermanent
Spring Valley Shoshoni,west2622,Seminomadic,Nomadic/Impermanent,Nomadic/Impermanent
Sanpoil,sanp1257,Seminomadic,Nomadic/Impermanent,Nomadic/Impermanent
Tubaduka,west2622,Seminomadic,Nomadic/Impermanent,Nomadic/Impermanent
Wadaduka,west2622,Seminomadic,Nomadic/Impermanent,Nomadic/Impermanent
Elko Shoshoni,west2622,Seminomadic,Nomadic/Impermanent,Nomadic/Impermanent
White Knife Shoshoni,west2622,Seminomadic,Nomadic/Impermanent,Nomadic/Impermanent
Yahanduka,west2622,Seminomadic,Nomadic/Impermanent,Nomadic/Impermanent
Bohogue,nort2955,Seminomadic,Nomadic/Impermanent,Nomadic/Impermanent
Agaiduka,nort2955,Seminomadic,Nomadic/Impermanent,Nomadic/Impermanent
Tukudika,nort2955,Seminomadic,Nomadic/Impermanent,Nomadic/Impermanent
Gosiute,gosi1242,Seminomadic,Nomadic/Impermanent,Nomadic/Impermanent
Antarianunts,utee1244,Seminomadic,Nomadic/Impermanent,Nomadic/Impermanent
Hukundika,nort2955,Seminomadic,Nomadic/Impermanent,Nomadic/Impermanent
Panguitch,utee1244,Seminomadic,Nomadic/Impermanent,Nomadic/Impermanent
Moapa,sout2969,Seminomadic,Nomadic/Impermanent,Nomadic/Impermanent
Shivwits,sout2969,Seminomadic,Nomadic/Impermanent,Nomadic/Impermanent
Southern Paiute (Kaibab),sout2969,Seminomadic,Nomadic/Impermanent,Nomadic/Impermanent
Chemehuevi,chem1251,Seminomadic,Nomadic/Impermanent,Nomadic/Impermanent
Southern Paiute (Las Vegas),sout2969,Seminomadic,Nomadic/Impermanent,Nomadic/Impermanent
San Juan,sout2969,Seminomadic,Nomadic/Impermanent,Nomadic/Impermanent
Pahvant,utee1244,Seminomadic,Nomadic/Impermanent,Nomadic/Impermanent
Uintah Ute,utee1244,Seminomadic,Nomadic/Impermanent,Nomadic/Impermanent
Moanunts,utee1244,Seminomadic,Nomadic/Impermanent,Nomadic/Impermanent
Washo,wash1253,Seminomadic,Nomadic/Impermanent,Nomadic/Impermanent
Moache,utee1244,Seminomadic,Nomadic/Impermanent,Nomadic/Impermanent
Taviwatsiu,utee1244,Seminomadic,Nomadic/Impermanent,Nomadic/Impermanent
Uncompahgre Ute,utee1244,Nomadic,Nomadic/Impermanent,Nomadic/Impermanent
Bannock,bann1248,Seminomadic,Nomadic/Impermanent,Nomadic/Impermanent
Wind River Eastern Shoshone,nort2955,Seminomadic,Nomadic/Impermanent,Nomadic/Impermanent
Hualapai,wala1270,Seminomadic,Nomadic/Impermanent,Nomadic/Impermanent
Yavapai,yava1252,Seminomadic,Nomadic/Impermanent,Nomadic/Impermanent
Tolkepaya,yava1252,Seminomadic,Nomadic/Impermanent,Nomadic/Impermanent
Kutenai,kute1249,Seminomadic,Nomadic/Impermanent,Nomadic/Impermanent
Chilcotin,chil1280,Seminomadic,Nomadic/Impermanent,Nomadic/Impermanent
Lillooet,lill1248,Seminomadic,Nomadic/Impermanent,Nomadic/Impermanent
Gros Ventre,gros1243,Nomadic,Nomadic/Impermanent,Nomadic/Impermanent
Arikara,arik1262,Villages/towns,Large settlements,Large settlements
Assiniboine,assi1247,Nomadic,Nomadic/Impermanent,Nomadic/Impermanent
Blackfoot,pieg1239,Nomadic,Nomadic/Impermanent,Nomadic/Impermanent
Kainai,bloo1239,Nomadic,Nomadic/Impermanent,Nomadic/Impermanent
Bungi,west1510,Nomadic,Nomadic/Impermanent,Nomadic/Impermanent
Hidatsa,hida1246,Semisedentary,Nomadic/Impermanent,Nomadic/Impermanent
Karankawa,kara1289,Nomadic,Nomadic/Impermanent,Nomadic/Impermanent
Kiowa,kiow1266,Seminomadic,Nomadic/Impermanent,Nomadic/Impermanent
Piegan,pieg1239,Nomadic,Nomadic/Impermanent,Nomadic/Impermanent
Plains Cree,plai1258,Nomadic,Nomadic/Impermanent,Nomadic/Impermanent
Kiowa Apache,kiow1264,Nomadic,Nomadic/Impermanent,Nomadic/Impermanent
Santee,dako1258,Seminomadic,Nomadic/Impermanent,Nomadic/Impermanent
Coahuilteco,coah1252,NA,NA,NA
Comanche,coma1245,Nomadic,Nomadic/Impermanent,Nomadic/Impermanent
Crow,crow1244,Seminomadic,Nomadic/Impermanent,Nomadic/Impermanent
Cheyenne,chey1247,Nomadic,Nomadic/Impermanent,Nomadic/Impermanent
Mandan,mand1446,Semisedentary,Nomadic/Impermanent,Nomadic/Impermanent
Sarcee,sars1236,Nomadic,Nomadic/Impermanent,Nomadic/Impermanent
Teton,lako1247,Seminomadic,Nomadic/Impermanent,Nomadic/Impermanent
Arapaho,arap1274,Seminomadic,Nomadic/Impermanent,Nomadic/Impermanent
Iowa,iowa1246,Semisedentary,Nomadic/Impermanent,Nomadic/Impermanent
Otoe,otoo1241,Semisedentary,Nomadic/Impermanent,Nomadic/Impermanent
Ponca,ponc1241,Semisedentary,Nomadic/Impermanent,Nomadic/Impermanent
Shawnee,shaw1249,Semisedentary,Nomadic/Impermanent,Nomadic/Impermanent
Caddo,cadd1256,Villages/towns,Large settlements,Large settlements
Kickapoo,kick1244,NA,NA,NA
Ho Chunk,hoch1243,Semisedentary,Nomadic/Impermanent,Nomadic/Impermanent
Omaha,omah1248,Semisedentary,Nomadic/Impermanent,Nomadic/Impermanent
Myaamia,miam1252,Semisedentary,Nomadic/Impermanent,Nomadic/Impermanent
Wichita,wich1260,Semisedentary,Nomadic/Impermanent,Nomadic/Impermanent
Pawnee,pawn1254,Semisedentary,Nomadic/Impermanent,Nomadic/Impermanent
Fox,mesk1242,Seminomadic,Nomadic/Impermanent,Nomadic/Impermanent
Hasinai,cadd1256,Hamlets,Small settlements,Small settlements
Menominee,meno1252,Semisedentary,Nomadic/Impermanent,Nomadic/Impermanent
Huron,wyan1247,Semisedentary,Nomadic/Impermanent,Nomadic/Impermanent
Seneca,sene1264,Villages/towns,Large settlements,Large settlements
Yuchi,yuch1247,Villages/towns,Large settlements,Large settlements
Choctaw,choc1276,Dispersed homesteads,Small settlements,Small settlements
Abenaki,peno1243,NA,NA,NA
Chickasaw,chic1270,NA,NA,NA
Chitimacha,chit1248,NA,NA,NA
Seminole,mika1239,NA,NA,NA
Muscogee,cree1270,Villages/towns,Large settlements,Large settlements
Penobscot,peno1243,NA,NA,NA
Cherokee,cher1273,Villages/towns,Large settlements,Large settlements
Delaware,unam1242,Semisedentary,Nomadic/Impermanent,Nomadic/Impermanent
Natchez,natc1249,Villages/towns,Large settlements,Large settlements
Timucua,timu1245,Semisedentary,Nomadic/Impermanent,Nomadic/Impermanent
Catawba,cata1286,Dispersed homesteads,Small settlements,Small settlements
Chiricahua,mesc1238,Nomadic,Nomadic/Impermanent,Nomadic/Impermanent
Isleta,sout2961,Villages/towns,Large settlements,Large settlements
San Ildefonso,sani1273,Villages/towns,Large settlements,Large settlements
Santa Ana,sant1426,Villages/towns,Large settlements,Large settlements
Acoma,acom1246,Villages/towns,Large settlements,Large settlements
Laguna,acom1246,Complex permanent,Large settlements,Large settlements
Mescalero,mesc1238,Seminomadic,Nomadic/Impermanent,Nomadic/Impermanent
Jicarilla,jica1244,Seminomadic,Nomadic/Impermanent,Nomadic/Impermanent
Western Apache,west2615,Semisedentary,Nomadic/Impermanent,Nomadic/Impermanent
Hopi,hopi1249,Villages/towns,Large settlements,Large settlements
Cocopa,coco1261,Dispersed homesteads,Small settlements,Small settlements
Hano,ariz1237,Villages/towns,Large settlements,Large settlements
Kamia,kumi1248,Dispersed homesteads,Small settlements,Small settlements
Mojave,moha1256,Dispersed homesteads,Small settlements,Small settlements
Quechan,quec1382,Villages/towns,Large settlements,Large settlements
Kewyipaya,yava1252,Seminomadic,Nomadic/Impermanent,Nomadic/Impermanent
Lipan Apache,lipa1241,Seminomadic,Nomadic/Impermanent,Nomadic/Impermanent
Sia,ziaa1251,Villages/towns,Large settlements,Large settlements
Santa Clara,sant1421,NA,NA,NA
Kewa,sant1425,NA,NA,NA
Navajo,nava1243,Semisedentary,Nomadic/Impermanent,Nomadic/Impermanent
Zuni,zuni1245,Villages/towns,Large settlements,Large settlements
Maricopa,mari1440,Villages/towns,Large settlements,Large settlements
Taos,taos1236,Villages/towns,Large settlements,Large settlements
Cochiti,coch1273,Villages/towns,Large settlements,Large settlements
Jemez,jeme1245,Villages/towns,Large settlements,Large settlements
Picuris,picu1248,Villages/towns,Large settlements,Large settlements
Tarahumara,cent2131,Dispersed homesteads,Small settlements,Small settlements
Tohono O'odham,toho1246,Semisedentary,Nomadic/Impermanent,Nomadic/Impermanent
Huichol,huic1243,Hamlets,Small settlements,Small settlements
Seri,seri1257,Seminomadic,Nomadic/Impermanent,Nomadic/Impermanent
Chichimeca,chic1272,Nomadic,Nomadic/Impermanent,Nomadic/Impermanent
Pima,akim1239,Villages/towns,Large settlements,Large settlements
Yaqui,yaqu1251,Villages/towns,Large settlements,Large settlements
Opata,opat1246,NA,NA,NA
Tepehuán,nort2959,NA,NA,NA
Chinantec,ojit1237,Villages/towns,Large settlements,Large settlements
Zapotec,yala1267,Villages/towns,Large settlements,Large settlements
Huastec,huas1242,NA,NA,NA
Mixtec,juxt1235,NA,NA,NA
Otomí,mezq1235,NA,NA,NA
Tequistlatec,high1242,NA,NA,NA
Aztec,clas1250,Villages/towns,Large settlements,Large settlements
Sierra Popoluca,high1276,Villages/towns,Large settlements,Large settlements
Totonac,papa1238,Villages/towns,Large settlements,Large settlements
Mazateco,huau1238,NA,NA,NA
Huave,sanm1287,NA,NA,NA
Mixe,isth1238,Villages/towns,Large settlements,Large settlements
Tarasco,pure1242,Villages/towns,Large settlements,Large settlements
Tlaxcalans,cent2132,Complex permanent,Large settlements,Large settlements
Guna,sanb1242,Villages/towns,Large settlements,Large settlements
Lacandon,laca1243,Dispersed homesteads,Small settlements,Small settlements
Kaqchikel,kaqc1270,NA,NA,NA
Lenca,lenc1242,Villages/towns,Large settlements,Large settlements
K'iche',kich1262,Villages/towns,Large settlements,Large settlements
Ngäbe,ngab1239,NA,NA,NA
Jakaltek,popt1235,NA,NA,NA
Tolupan,toll1241,NA,NA,NA
Poqomam,poqo1253,NA,NA,NA
Tzeltal,tzel1254,NA,NA,NA
Ch'orti',chor1273,Complex permanent,Large settlements,Large settlements
Emberá,nort2972,Dispersed homesteads,Small settlements,Small settlements
Bribri,brib1243,Dispersed homesteads,Small settlements,Small settlements
Yucatec Maya,yuca1254,Complex permanent,Large settlements,Large settlements
Garifuna,gari1256,Villages/towns,Large settlements,Large settlements
Mam,mamm1241,Villages/towns,Large settlements,Large settlements
Miskito,misk1235,Villages/towns,Large settlements,Large settlements
Callinago,isla1278,Hamlets,Small settlements,Small settlements
Cágaba,cogu1240,Semisedentary,Nomadic/Impermanent,Nomadic/Impermanent
Barí (Motilon),yukp1241,Villages/towns,Large settlements,Large settlements
Cariña,taba1267,Dispersed homesteads,Small settlements,Small settlements
Paraujano,para1316,Villages/towns,Large settlements,Large settlements
Wayuu,wayu1243,Nomadic,Nomadic/Impermanent,Nomadic/Impermanent
Yupa,yukp1241,Villages/towns,Large settlements,Large settlements
Taíno,tain1254,Villages/towns,Large settlements,Large settlements
Haitians,hait1244,Villages/towns,Large settlements,Large settlements
Warao,wara1303,Semisedentary,Nomadic/Impermanent,Nomadic/Impermanent
Lokono,araw1276,Villages/towns,Large settlements,Large settlements
Camaracoto,cama1252,Villages/towns,Large settlements,Large settlements
Macushi,macu1259,Villages/towns,Large settlements,Large settlements
Panare,enap1235,Seminomadic,Nomadic/Impermanent,Nomadic/Impermanent
Rucuyen,waya1269,NA,NA,NA
Taulípang,taul1252,Villages/towns,Large settlements,Large settlements
Ye'kuana,maqu1238,Villages/towns,Large settlements,Large settlements
Piapoco,piap1246,Villages/towns,Large settlements,Large settlements
Ndyuka,ndyu1242,Semisedentary,Nomadic/Impermanent,Nomadic/Impermanent
Pumé,pume1238,Villages/towns,Large settlements,Large settlements
Barama River Carib,mura1272,Dispersed homesteads,Small settlements,Small settlements
Guahibo,guah1255,Semisedentary,Nomadic/Impermanent,Nomadic/Impermanent
Wapishana,wapi1253,Villages/towns,Large settlements,Large settlements
Saramaccan,sara1340,Villages/towns,Large settlements,Large settlements
Yabarana,yaba1248,Villages/towns,Large settlements,Large settlements
Piaroa,piar1243,Seminomadic,Nomadic/Impermanent,Nomadic/Impermanent
Curripaco,curr1243,Villages/towns,Large settlements,Large settlements
Munduruku,mund1330,Villages/towns,Large settlements,Large settlements
Tapirapé,tapi1254,Villages/towns,Large settlements,Large settlements
Palikur,pali1279,Villages/towns,Large settlements,Large settlements
Guaica,yano1262,Seminomadic,Nomadic/Impermanent,Nomadic/Impermanent
Sateré Mawé,sate1243,Villages/towns,Large settlements,Large settlements
Shiriana,nina1238,Seminomadic,Nomadic/Impermanent,Nomadic/Impermanent
Wai-wai,waiw1244,Villages/towns,Large settlements,Large settlements
Sanema,sanu1240,Seminomadic,Nomadic/Impermanent,Nomadic/Impermanent
Yanomami,yano1261,Impermanent,Nomadic/Impermanent,Nomadic/Impermanent
Sirionó,siri1273,Seminomadic,Nomadic/Impermanent,Nomadic/Impermanent
Cocama,coca1259,Villages/towns,Large settlements,Large settlements
Chácobo,chac1251,Villages/towns,Large settlements,Large settlements
Tucano,tuca1252,NA,NA,NA
Ticuna,ticu1245,Villages/towns,Large settlements,Large settlements
Shuar,shua1257,Dispersed homesteads,Small settlements,Small settlements
Yagua,yagu1244,Villages/towns,Large settlements,Large settlements
Cubeo,cube1242,Impermanent,Nomadic/Impermanent,Nomadic/Impermanent
Witoto,muru1274,Villages/towns,Large settlements,Large settlements
Camba,chiq1248,NA,NA,NA
Amahuaca,amah1246,Dispersed homesteads,Small settlements,Small settlements
Shipibo-Conibo,ship1254,Villages/towns,Large settlements,Large settlements
Inca,cusc1236,Villages/towns,Large settlements,Large settlements
Aymara,cent2142,Villages/towns,Large settlements,Large settlements
Chachi,chac1249,Dispersed homesteads,Small settlements,Small settlements
U'wa,cent2150,Villages/towns,Large settlements,Large settlements
Páez,paez1247,Dispersed homesteads,Small settlements,Small settlements
Muisca,chib1270,Villages/towns,Large settlements,Large settlements
Asháninka,ajyi1238,Villages/towns,Large settlements,Large settlements
Piro,yine1238,NA,NA,NA
Uru,uruu1244,NA,NA,NA
Yahgan,yama1264,Nomadic,Nomadic/Impermanent,Nomadic/Impermanent
Mapuche,mapu1245,Hamlets,Small settlements,Small settlements
Ona,onaa1245,Nomadic,Nomadic/Impermanent,Nomadic/Impermanent
Tehuelche,tehu1242,Nomadic,Nomadic/Impermanent,Nomadic/Impermanent
Alacaluf,qawa1238,Nomadic,Nomadic/Impermanent,Nomadic/Impermanent
Wichí,wich1264,Seminomadic,Nomadic/Impermanent,Nomadic/Impermanent
Terena,tere1279,Seminomadic,Nomadic/Impermanent,Nomadic/Impermanent
Abipón,abip1241,Nomadic,Nomadic/Impermanent,Nomadic/Impermanent
Kadiwéu,kadi1248,Nomadic,Nomadic/Impermanent,Nomadic/Impermanent
Choroti,iyow1239,Impermanent,Nomadic/Impermanent,Nomadic/Impermanent
Chamacoco,cham1315,Nomadic,Nomadic/Impermanent,Nomadic/Impermanent
Guaraní,east2555,Villages/towns,Large settlements,Large settlements
