Name,Glottocode,Value,Subsistence_Type
Kara,kara1481,Intensive agriculture,Agriculture
Sonjo,temi1247,Intensive agriculture,Agriculture
Kikuyu,kiku1240,Intensive agriculture,Agriculture
Tiriki,idak1243,Intensive agriculture,Agriculture
Vugusu,buku1249,Extensive agriculture,Agriculture
Haya,haya1250,Intensive agriculture,Agriculture
Kerewe,kere1283,Intensive agriculture,Agriculture
Konjo,konz1239,Extensive agriculture,Agriculture
Nyankole,nyan1307,Extensive agriculture,Agriculture
Soga,soga1242,Intensive agriculture,Agriculture
Sumbwa,sumb1240,Intensive agriculture,Agriculture
Toro,toor1238,Extensive agriculture,Agriculture
Zinza,zinz1238,Extensive agriculture,Agriculture
Mbugwe,mbug1242,Two or more sources,NA
Kaguru,kagu1239,Extensive agriculture,Agriculture
Ngulu,ngul1246,Extensive agriculture,Agriculture
Nyakyusa,nyak1261,Intensive agriculture,Agriculture
Ganda,gand1255,Intensive agriculture,Agriculture
Hehe,hehe1240,Intensive agriculture,Agriculture
Gisu,masa1299,Extensive agriculture,Agriculture
Amba,amba1263,Extensive agriculture,Agriculture
Banyaruanda,kiny1244,Intensive agriculture,Agriculture
Songola,song1300,Fishing,Hunting and gathering
Duala,dual1243,Extensive agriculture,Agriculture
Bashi,shii1238,"Agriculture, type unknown",Agriculture
Ha,haaa1252,Intensive agriculture,Agriculture
Hunde,hund1239,Intensive agriculture,Agriculture
Lulua,luba1249,"Agriculture, type unknown",Agriculture
Rega,lega1249,Extensive agriculture,Agriculture
Songye,song1303,Extensive agriculture,Agriculture
Garanganze,sang1331,"Agriculture, type unknown",Agriculture
Kpe,mokp1239,Extensive agriculture,Agriculture
Ekonda,ekon1238,Extensive agriculture,Agriculture
Kela,yela1238,Extensive agriculture,Agriculture
Kutsu,kusu1252,Extensive agriculture,Agriculture
Lalia,ngan1302,"Agriculture, type unknown",Agriculture
Mongo,long1393,"Agriculture, type unknown",Agriculture
Tetela,tete1250,"Agriculture, type unknown",Agriculture
Topoke,poke1238,Extensive agriculture,Agriculture
Lokele,kele1255,Fishing,Hunting and gathering
Ngala,ling1263,Two or more sources,NA
Poto,luse1252,Fishing,Hunting and gathering
Fang,fang1246,Extensive agriculture,Agriculture
Bira,bila1255,Extensive agriculture,Agriculture
Budu,budu1250,Extensive agriculture,Agriculture
Kumu,komo1260,Extensive agriculture,Agriculture
Ndaka Babali,bali1274,Extensive agriculture,Agriculture
Plains Bira,bera1259,Extensive agriculture,Agriculture
Rumbi,lomb1254,Extensive agriculture,Agriculture
Bombesa,mbes1238,Extensive agriculture,Agriculture
Budja,budz1238,"Agriculture, type unknown",Agriculture
Ndoko,doko1244,Extensive agriculture,Agriculture
Ngombe,binj1250,Extensive agriculture,Agriculture
Nkundo,nkun1238,Extensive agriculture,Agriculture
Dzem,njye1238,Extensive agriculture,Agriculture
Kota,ndas1238,Extensive agriculture,Agriculture
Ngumba,kwas1243,Extensive agriculture,Agriculture
Sanga,bomw1238,Extensive agriculture,Agriculture
Bubi,bube1242,Extensive agriculture,Agriculture
Kundu,orok1266,Extensive agriculture,Agriculture
Mpongwe,myen1241,Extensive agriculture,Agriculture
Puku,bata1285,Extensive agriculture,Agriculture
Bafia,bafi1243,Extensive agriculture,Agriculture
Bali Nyonga,mung1266,"Agriculture, type unknown",Agriculture
Bamileke,fefe1239,Extensive agriculture,Agriculture
Bamum,bamu1253,Extensive agriculture,Agriculture
Banen,tune1261,Extensive agriculture,Agriculture
Fungom,mmen1238,"Agriculture, type unknown",Agriculture
Koko,bako1249,"Agriculture, type unknown",Agriculture
Kom,komc1235,"Agriculture, type unknown",Agriculture
Ndob,band1349,Extensive agriculture,Agriculture
Nsaw,lamn1239,Extensive agriculture,Agriculture
Nsungli,limb1268,Extensive agriculture,Agriculture
Tikar,tige1238,Extensive agriculture,Agriculture
Widikum,meta1238,"Agriculture, type unknown",Agriculture
Luba,luba1250,Extensive agriculture,Agriculture
Baboa,bwaa1238,Extensive agriculture,Agriculture
Rundi,rund1242,Intensive agriculture,Agriculture
Fut,bafu1246,Extensive agriculture,Agriculture
Fon,fonn1241,Extensive agriculture,Agriculture
Igbo,nucl1417,Extensive agriculture,Agriculture
Toma,toma1245,Extensive agriculture,Agriculture
Akyem,akye1239,Extensive agriculture,Agriculture
Ebira,ebir1243,Extensive agriculture,Agriculture
Sherbro,sher1258,Extensive agriculture,Agriculture
Kpelle,libe1247,Extensive agriculture,Agriculture
Banyang,keny1279,Extensive agriculture,Agriculture
Boki,boky1238,Extensive agriculture,Agriculture
Ekoi,ejag1239,Extensive agriculture,Agriculture
Efik,efik1245,Extensive agriculture,Agriculture
