Name,Glottocode,Value,Subsistence_Type
Yavapai,yava1252,Gathering,Hunting and gathering
Tolkepaya,yava1252,Gathering,Hunting and gathering
Kutenai,kute1249,Fishing,Hunting and gathering
Chilcotin,chil1280,Fishing,Hunting and gathering
Lillooet,lill1248,Fishing,Hunting and gathering
Gros Ventre,gros1243,Hunting,Hunting and gathering
Arikara,arik1262,Intensive agriculture,Agriculture
Assiniboine,assi1247,Hunting,Hunting and gathering
Blackfoot,pieg1239,Hunting,Hunting and gathering
Kainai,bloo1239,Hunting,Hunting and gathering
Bungi,west1510,Hunting,Hunting and gathering
Hidatsa,hida1246,Intensive agriculture,Agriculture
Karankawa,kara1289,Fishing,Hunting and gathering
Kiowa,kiow1266,Hunting,Hunting and gathering
Piegan,pieg1239,Hunting,Hunting and gathering
Plains Cree,plai1258,Hunting,Hunting and gathering
Kiowa Apache,kiow1264,Hunting,Hunting and gathering
Santee,dako1258,Hunting,Hunting and gathering
Coahuilteco,coah1252,Hunting,Hunting and gathering
Comanche,coma1245,Hunting,Hunting and gathering
Crow,crow1244,Hunting,Hunting and gathering
Cheyenne,chey1247,Hunting,Hunting and gathering
Mandan,mand1446,Intensive agriculture,Agriculture
Sarcee,sars1236,Hunting,Hunting and gathering
Teton,lako1247,Hunting,Hunting and gathering
Arapaho,arap1274,Hunting,Hunting and gathering
Iowa,iowa1246,Two or more sources,NA
Otoe,otoo1241,Hunting,Hunting and gathering
Ponca,ponc1241,Hunting,Hunting and gathering
Shawnee,shaw1249,Hunting,Hunting and gathering
Caddo,cadd1256,Extensive agriculture,Agriculture
Kickapoo,kick1244,"Agriculture, type unknown",Agriculture
Ho Chunk,hoch1243,Two or more sources,NA
Omaha,omah1248,Two or more sources,NA
Myaamia,miam1252,Extensive agriculture,Agriculture
Wichita,wich1260,Extensive agriculture,Agriculture
Pawnee,pawn1254,Extensive agriculture,Agriculture
Fox,mesk1242,Two or more sources,NA
Hasinai,cadd1256,Extensive agriculture,Agriculture
Menominee,meno1252,Gathering,Hunting and gathering
Huron,wyan1247,Extensive agriculture,Agriculture
Seneca,sene1264,Extensive agriculture,Agriculture
Yuchi,yuch1247,Extensive agriculture,Agriculture
Choctaw,choc1276,Extensive agriculture,Agriculture
Abenaki,peno1243,Hunting,Hunting and gathering
Chickasaw,chic1270,"Agriculture, type unknown",Agriculture
Chitimacha,chit1248,"Agriculture, type unknown",Agriculture
Seminole,mika1239,Missing for at least 1 activity,NA
Muscogee,cree1270,Extensive agriculture,Agriculture
Penobscot,peno1243,Hunting,Hunting and gathering
Cherokee,cher1273,Extensive agriculture,Agriculture
Delaware,unam1242,Extensive agriculture,Agriculture
Natchez,natc1249,Extensive agriculture,Agriculture
Timucua,timu1245,Extensive agriculture,Agriculture
Catawba,cata1286,Intensive agriculture,Agriculture
Chiricahua,mesc1238,Gathering,Hunting and gathering
Isleta,sout2961,Intensive agriculture,Agriculture
San Ildefonso,sani1273,Intensive agriculture,Agriculture
Santa Ana,sant1426,Intensive agriculture,Agriculture
Acoma,acom1246,Intensive agriculture,Agriculture
Laguna,acom1246,Intensive agriculture,Agriculture
Mescalero,mesc1238,Two or more sources,NA
Jicarilla,jica1244,Hunting,Hunting and gathering
Western Apache,west2615,Hunting,Hunting and gathering
Hopi,hopi1249,Intensive agriculture,Agriculture
Cocopa,coco1261,Intensive agriculture,Agriculture
Hano,ariz1237,Intensive agriculture,Agriculture
Kamia,kumi1248,Intensive agriculture,Agriculture
Mojave,moha1256,Intensive agriculture,Agriculture
Quechan,quec1382,Intensive agriculture,Agriculture
Kewyipaya,yava1252,Gathering,Hunting and gathering
Lipan Apache,lipa1241,Gathering,Hunting and gathering
Sia,ziaa1251,Intensive agriculture,Agriculture
Santa Clara,sant1421,"Agriculture, type unknown",Agriculture
Kewa,sant1425,"Agriculture, type unknown",Agriculture
Navajo,nava1243,Intensive agriculture,Agriculture
Zuni,zuni1245,Intensive agriculture,Agriculture
Maricopa,mari1440,Gathering,Hunting and gathering
Taos,taos1236,Intensive agriculture,Agriculture
Cochiti,coch1273,Intensive agriculture,Agriculture
Jemez,jeme1245,Intensive agriculture,Agriculture
Picuris,picu1248,Intensive agriculture,Agriculture
Tarahumara,cent2131,Intensive agriculture,Agriculture
Tohono O'odham,toho1246,Intensive agriculture,Agriculture
Huichol,huic1243,Extensive agriculture,Agriculture
Seri,seri1257,Fishing,Hunting and gathering
Chichimeca,chic1272,Gathering,Hunting and gathering
Pima,akim1239,Intensive agriculture,Agriculture
Yaqui,yaqu1251,Intensive agriculture,Agriculture
Opata,opat1246,"Agriculture, type unknown",Agriculture
Tepehuán,nort2959,"Agriculture, type unknown",Agriculture
Chinantec,ojit1237,Extensive agriculture,Agriculture
Zapotec,yala1267,Extensive agriculture,Agriculture
Huastec,huas1242,"Agriculture, type unknown",Agriculture
Mixtec,juxt1235,"Agriculture, type unknown",Agriculture
Otomí,mezq1235,"Agriculture, type unknown",Agriculture
Tequistlatec,high1242,"Agriculture, type unknown",Agriculture
Aztec,clas1250,Intensive agriculture,Agriculture
Sierra Popoluca,high1276,Extensive agriculture,Agriculture
Totonac,papa1238,Extensive agriculture,Agriculture
Mazateco,huau1238,"Agriculture, type unknown",Agriculture
Huave,sanm1287,Fishing,Hunting and gathering
Mixe,isth1238,Extensive agriculture,Agriculture
Tarasco,pure1242,Intensive agriculture,Agriculture
Tlaxcalans,cent2132,Extensive agriculture,Agriculture
Guna,sanb1242,Extensive agriculture,Agriculture
Lacandon,laca1243,Extensive agriculture,Agriculture
Kaqchikel,kaqc1270,"Agriculture, type unknown",Agriculture
Lenca,lenc1242,Extensive agriculture,Agriculture
K'iche',kich1262,Extensive agriculture,Agriculture
Ngäbe,ngab1239,"Agriculture, type unknown",Agriculture
Jakaltek,popt1235,"Agriculture, type unknown",Agriculture
Tolupan,toll1241,"Agriculture, type unknown",Agriculture
Poqomam,poqo1253,"Agriculture, type unknown",Agriculture
Tzeltal,tzel1254,"Agriculture, type unknown",Agriculture
Ch'orti',chor1273,Extensive agriculture,Agriculture
Emberá,nort2972,Extensive agriculture,Agriculture
Bribri,brib1243,Extensive agriculture,Agriculture
Yucatec Maya,yuca1254,Extensive agriculture,Agriculture
Garifuna,gari1256,Extensive agriculture,Agriculture
Mam,mamm1241,Extensive agriculture,Agriculture
Miskito,misk1235,Gathering,Hunting and gathering
Callinago,isla1278,Fishing,Hunting and gathering
Cágaba,cogu1240,Extensive agriculture,Agriculture
Barí (Motilon),yukp1241,Gathering,Hunting and gathering
Cariña,taba1267,Extensive agriculture,Agriculture
Paraujano,para1316,Fishing,Hunting and gathering
Wayuu,wayu1243,Pastoralism,Hunting and gathering
Yupa,yukp1241,Extensive agriculture,Agriculture
Taíno,tain1254,Intensive agriculture,Agriculture
Haitians,hait1244,Intensive agriculture,Agriculture
Warao,wara1303,Gathering,Hunting and gathering
Lokono,araw1276,Extensive agriculture,Agriculture
Camaracoto,cama1252,Extensive agriculture,Agriculture
Macushi,macu1259,Extensive agriculture,Agriculture
Panare,enap1235,Extensive agriculture,Agriculture
Rucuyen,waya1269,"Agriculture, type unknown",Agriculture
Taulípang,taul1252,Extensive agriculture,Agriculture
Ye'kuana,maqu1238,Two or more sources,NA
Piapoco,piap1246,Extensive agriculture,Agriculture
Ndyuka,ndyu1242,Extensive agriculture,Agriculture
Pumé,pume1238,Extensive agriculture,Agriculture
Barama River Carib,mura1272,Extensive agriculture,Agriculture
Guahibo,guah1255,Extensive agriculture,Agriculture
Wapishana,wapi1253,Extensive agriculture,Agriculture
Saramaccan,sara1340,Extensive agriculture,Agriculture
Yabarana,yaba1248,Extensive agriculture,Agriculture
Piaroa,piar1243,Hunting,Hunting and gathering
Curripaco,curr1243,Extensive agriculture,Agriculture
Munduruku,mund1330,Extensive agriculture,Agriculture
Tapirapé,tapi1254,Extensive agriculture,Agriculture
Palikur,pali1279,Extensive agriculture,Agriculture
Guaica,yano1262,Two or more sources,NA
Sateré Mawé,sate1243,Extensive agriculture,Agriculture
Shiriana,nina1238,Hunting,Hunting and gathering
Wai-wai,waiw1244,Extensive agriculture,Agriculture
Sanema,sanu1240,Hunting,Hunting and gathering
Yanomami,yano1261,Extensive agriculture,Agriculture
Sirionó,siri1273,Hunting,Hunting and gathering
Cocama,coca1259,Fishing,Hunting and gathering
Chácobo,chac1251,Extensive agriculture,Agriculture
Tucano,tuca1252,"Agriculture, type unknown",Agriculture
Ticuna,ticu1245,Two or more sources,NA
Shuar,shua1257,Extensive agriculture,Agriculture
Yagua,yagu1244,Hunting,Hunting and gathering
Cubeo,cube1242,Extensive agriculture,Agriculture
Witoto,muru1274,Extensive agriculture,Agriculture
Camba,chiq1248,"Agriculture, type unknown",Agriculture
Amahuaca,amah1246,Extensive agriculture,Agriculture
Shipibo-Conibo,ship1254,Fishing,Hunting and gathering
Inca,cusc1236,Intensive agriculture,Agriculture
Aymara,cent2142,Extensive agriculture,Agriculture
Chachi,chac1249,Extensive agriculture,Agriculture
U'wa,cent2150,Extensive agriculture,Agriculture
Páez,paez1247,Intensive agriculture,Agriculture
Muisca,chib1270,Intensive agriculture,Agriculture
Asháninka,ajyi1238,Extensive agriculture,Agriculture
Piro,yine1238,"Agriculture, type unknown",Agriculture
Uru,uruu1244,Fishing,Hunting and gathering
Yahgan,yama1264,Fishing,Hunting and gathering
Mapuche,mapu1245,Intensive agriculture,Agriculture
Ona,onaa1245,Hunting,Hunting and gathering
Tehuelche,tehu1242,Hunting,Hunting and gathering
Alacaluf,qawa1238,Fishing,Hunting and gathering
Wichí,wich1264,Fishing,Hunting and gathering
Terena,tere1279,Two or more sources,NA
Abipón,abip1241,Hunting,Hunting and gathering
Kadiwéu,kadi1248,Hunting,Hunting and gathering
Choroti,iyow1239,Gathering,Hunting and gathering
Chamacoco,cham1315,Gathering,Hunting and gathering
Guaraní,east2555,Extensive agriculture,Agriculture
Toba,toba1269,Two or more sources,NA
Lengua,nort2971,Hunting,Hunting and gathering
Bororo,boro1282,Hunting,Hunting and gathering
Kuikuru,kuik1246,Extensive agriculture,Agriculture
Trumai,trum1247,Extensive agriculture,Agriculture
Bacairi,baka1277,Extensive agriculture,Agriculture
Nambikwara,sout2994,Gathering,Hunting and gathering
Kamayurá,kama1373,Extensive agriculture,Agriculture
Guató,guat1253,Gathering,Hunting and gathering
Paresi,pare1272,Extensive agriculture,Agriculture
Umotina,umot1240,Extensive agriculture,Agriculture
Aweti,awet1244,"Agriculture, type unknown",Agriculture
Carajá,kara1500,Fishing,Hunting and gathering
Cayua,mbya1239,Extensive agriculture,Agriculture
Shavante,xava1240,Gathering,Hunting and gathering
Sherente,xere1240,Extensive agriculture,Agriculture
Aweikoma,xokl1240,Hunting,Hunting and gathering
Canela,cane1242,Extensive agriculture,Agriculture
Aimoré,kren1239,Gathering,Hunting and gathering
Tenetehara,temb1276,Extensive agriculture,Agriculture
Apinaye,apin1244,Extensive agriculture,Agriculture
Tupinambá,tupi1273,Extensive agriculture,Agriculture
Kayapo,kaya1330,Extensive agriculture,Agriculture
