Name,Glottocode,Family_Size
Eastern Ojibwa,east2542,4.29
Katikitegon,uppe1274,NA
Mi'kmaq,mikm1235,2.75
Bitterroot Salish,kali1309,NA
Rainy River Ojibwe,rain1239,5
Northern Saulteaux,alba1270,NA
Shuswap,shus1248,NA
Pekangekum,lacs1238,NA
Round Lake Ojibwa,seve1241,NA
Alkatcho,sout2958,NA
Nipigon,cent2136,NA
Mistissini Cree,sout2978,4.82
North Albany Ojibwa,wini1244,NA
Waswanipi Cree,sout2978,2.12
Wegamon Ojibwa,seve1241,NA
Montagnais,mont1268,3.33
Sekani,seka1250,NA
Beaver,beav1236,5.17
DeneTha,sout2959,NA
Kaska,kask1239,4.66
Tahltan,tahl1239,NA
Chilcotin,chil1280,NA
Dakelh,carr1249,NA
Paraujano,para1316,NA
Mountain Dene,nort2942,3.18
Hän,hann1241,NA
Hare,nort2942,NA
Attawapiskat Cree,swam1239,4.07
Koyukon,koyu1237,2.95
Dene,chip1261,5.09
Kutchin,gwic1235,8.21
Deg Xit'an,dege1248,NA
Délįne,nort2942,NA
Nabesna,uppe1437,3.82
Shiriana,nina1238,NA
Waskaganish,sout2978,2.34
Tlicho,dogr1252,NA
Dena'ina,tana1289,NA
Tutchone,nort2941,5.11
Holikachuk,holi1241,NA
Naskapi,nask1242,4.78
Norton Sound Inuit,kusk1241,NA
Akurio,akur1238,NA
Kobuk Inuit,kobu1239,4
Kotzebue Sound Inuit,kotz1238,5
Labrador Inuit,labr1244,1.93
Kuujjuarapik,queb1248,NA
Caribou Inuit,cari1277,4.52
Noatak Inuit,nort2945,5.83
Nunamiut,nort2944,3.94
Inuvialuit,sigl1242,NA
Sivokamiut Inuit,cent2128,NA
Pumé,pume1238,3.85
Inupiat,nort2944,3.83
Copper Inuit,copp1244,5.26
Utkuhikhalingmiut,nets1241,4.68
Aivilingmiut Inuit,cari1277,4.26
Iglulik Inuit,west2618,6.56
Kalaallit (West Greenland),kala1399,3.35
Nunatsiarmiut,baff1240,3.14
Netsilik,nets1241,5.88
Tasiilaq,tunu1234,NA
Tareumiut,nort2944,NA
Guahibo,guah1255,3.42
Inughuit (Northern Greenland),pola1254,2.92
Shompen,shom1245,5.33
Nukak,nuka1242,4.7
Bororo,boro1282,NA
Guató,guat1253,4.37
Sirionó,siri1273,4.03
Yuqui,yuqu1240,4.2
Nambikwara,sout2994,4.86
Calusa,calu1239,NA
Aché,ache1246,7.63
Aimoré,kren1239,NA
Héta,xeta1241,5
Onge,onge1236,3.27
Aweikoma,xokl1240,3.97
Tehuelche,tehu1242,5
Chono,chon1248,NA
Alacaluf,qawa1238,2.79
Ona,onaa1245,NA
Yahgan,yama1264,NA
Jarawa,jara1245,NA
Aka,base1242,5.63
Bayaka,beka1240,5.08
Bambote,holo1240,4.05
Baka,baka1272,3.64
Efe,efee1239,NA
Mbuti,bila1255,7.06
Mikea,masi1268,NA
Hukwe,kxoe1243,NA
Hai//om,haio1238,NA
Hadza,hadz1240,3.67
Ayta (Pinatubo),boto1242,2.72
Dorobo,okie1245,3.31
Sekele,vase1234,NA
!Kung,juho1239,3.09
Naron,naro1249,NA
G/wi,gwii1239,NA
Kua,kuaa1238,NA
!Ko,huaa1248,2.65
