Language_ID,Parameter_ID,Value,Form,Name,Glottocode,Family
p_adangadan1251,fyZ,"-di', -uding",-di',Adang,adan1251,NA
p_adangadan1251,fyZ,"-di', -uding",-uding,Adang,adan1251,NA
p_adangadan1251,mF,-imang,-imang,Adang,adan1251,NA
p_adangadan1251,mM,-ife,-ife,Adang,adan1251,NA
p_adangadan1251,fF,-imang,-imang,Adang,adan1251,NA
p_adangadan1251,fM,-ife,-ife,Adang,adan1251,NA
p_adangadan1251,mS,-'ai,-'ai,Adang,adan1251,NA
p_adangadan1251,fS,-'ai,-'ai,Adang,adan1251,NA
p_adangadan1251,mD,-'ai,-'ai,Adang,adan1251,NA
p_adangadan1251,fD,-'ai,-'ai,Adang,adan1251,NA
p_adangadan1251,mSS,di'ing,di'ing,Adang,adan1251,NA
p_adangadan1251,mSD,di'ing,di'ing,Adang,adan1251,NA
p_adangadan1251,mDS,di'ing,di'ing,Adang,adan1251,NA
p_adangadan1251,mDD,di'ing,di'ing,Adang,adan1251,NA
p_adangadan1251,fSS,di'ing,di'ing,Adang,adan1251,NA
p_adangadan1251,fSD,di'ing,di'ing,Adang,adan1251,NA
p_adangadan1251,fDS,di'ing,di'ing,Adang,adan1251,NA
p_adangadan1251,fDD,di'ing,di'ing,Adang,adan1251,NA
p_adangadan1251,mFF,bap,bap,Adang,adan1251,NA
p_adangadan1251,mFM,bap,bap,Adang,adan1251,NA
p_adangadan1251,mMF,bap,bap,Adang,adan1251,NA
p_adangadan1251,mMM,bap,bap,Adang,adan1251,NA
p_adangadan1251,fFF,bap,bap,Adang,adan1251,NA
p_adangadan1251,fFM,bap,bap,Adang,adan1251,NA
p_adangadan1251,fMF,bap,bap,Adang,adan1251,NA
p_adangadan1251,fMM,bap,bap,Adang,adan1251,NA
p_adangadan1251,meBS,-'ai,-'ai,Adang,adan1251,NA
p_adangadan1251,myBS,-'ai,-'ai,Adang,adan1251,NA
p_adangadan1251,meZS,-'ai,-'ai,Adang,adan1251,NA
p_adangadan1251,myZS,-'ai,-'ai,Adang,adan1251,NA
p_adangadan1251,meBD,-'ai,-'ai,Adang,adan1251,NA
p_adangadan1251,myBD,-'ai,-'ai,Adang,adan1251,NA
p_adangadan1251,meZD,-'ai,-'ai,Adang,adan1251,NA
p_adangadan1251,myZD,-'ai,-'ai,Adang,adan1251,NA
p_adangadan1251,feBS,-'ai,-'ai,Adang,adan1251,NA
p_adangadan1251,fyBS,-'ai,-'ai,Adang,adan1251,NA
p_adangadan1251,feZS,-'ai,-'ai,Adang,adan1251,NA
p_adangadan1251,fyZS,-'ai,-'ai,Adang,adan1251,NA
p_adangadan1251,feBD,-'ai,-'ai,Adang,adan1251,NA
p_adangadan1251,fyBD,-'ai,-'ai,Adang,adan1251,NA
p_adangadan1251,feZD,-'ai,-'ai,Adang,adan1251,NA
