language,glottocode,family,prop,n_kintypes,data_type
Ding,ding1239,Atlantic-Congo,0.3333333333333333,48,veridical
Moronene,moro1287,Austronesian,0.16666666666666666,48,veridical
Muna,muna1247,Austronesian,0.22916666666666663,48,veridical
Paicî,paic1239,Austronesian,0.375,48,veridical
Erzya,erzy1239,Uralic,0.6041666666666666,48,veridical
Fijian,fiji1243,Austronesian,0.3125,48,veridical
Hawaiian,hawa1245,Austronesian,0.3333333333333333,48,veridical
Northern Mansi,mans1258,Uralic,0.3333333333333333,48,veridical
Yalarnnga,yala1262,Pama-Nyungan,0.3333333333333333,48,veridical
Belarusian,bela1254,Indo-European,0.3333333333333333,48,veridical
Gogo,gogo1263,Atlantic-Congo,0.3695652173913043,46,veridical
Pukapuka,puka1242,Austronesian,0.25,48,veridical
Tamil,tami1289,Dravidian,0.75,48,veridical
Bagvalal,bagv1239,Nakh-Daghestanian,0.3958333333333333,48,veridical
Uab Meto,uabm1237,Austronesian,0.380952380952381,42,veridical
Mangareva,mang1401,Austronesian,0.2916666666666667,48,veridical
Tiv,tivv1240,Atlantic-Congo,0.20454545454545456,44,veridical
Kómnjo,komn1238,NA,0.25,48,veridical
Indonesian Bajau,indo1317,Austronesian,0.3541666666666667,48,veridical
Doutai,dout1240,Lakes Plain,0.16666666666666666,48,veridical
Hunzib,hunz1247,Nakh-Daghestanian,0.3541666666666667,48,veridical
Lauje,lauj1238,Austronesian,0.25,48,veridical
Ampibabo,ampi1237,Austronesian,0.25,48,veridical
Luguru,lugu1238,Atlantic-Congo,0.34782608695652173,46,veridical
Waurá,waur1244,Arawakan,0.3541666666666667,48,veridical
Ingrian,ingr1248,Uralic,0.3636363636363637,44,veridical
Avar,avar1256,Nakh-Daghestanian,0.3958333333333333,48,veridical
Southern Cook Island Maori,raro1241,Austronesian,0.2727272727272727,44,veridical
Seke (Vanuatu),seke1241,Austronesian,0.22916666666666663,48,veridical
Marathi,mara1378,Indo-European,0.5833333333333334,48,veridical
Lahnda,lahn1241,Indo-European,0.5434782608695652,46,veridical
Matukar,matu1261,Austronesian,0.22916666666666663,48,veridical
Yugambal,yuga1244,Pama-Nyungan,0.34782608695652173,46,veridical
Walloon,wall1255,Indo-European,0.3181818181818182,44,veridical
Kikuyu,kiku1240,Atlantic-Congo,0.3617021276595745,47,veridical
Bukat,buka1261,Austronesian,0.1875,48,veridical
Bandjalangic,band1339,Pama-Nyungan,0.4583333333333333,48,veridical
Samoan,samo1305,Austronesian,0.2619047619047619,42,veridical
Serbian-Croatian-Bosnian,sout1528,Indo-European,0.4375,48,veridical
Patani,pata1260,Austronesian,0.3125,48,veridical
Shi,shii1238,Atlantic-Congo,0.4047619047619048,42,veridical
Dhuwal-Dhuwala,dhuw1248,Pama-Nyungan,0.3863636363636363,44,veridical
Kaurna,kaur1267,Pama-Nyungan,0.4222222222222222,45,veridical
Chimariko,chim1301,NA,0.30952380952380953,42,veridical
Sanapaná,sana1298,NA,0.30434782608695654,46,veridical
South Slavey,sout2959,NA,0.5,44,veridical
Ganggalida,gang1267,NA,0.5476190476190477,42,veridical
Huli,huli1244,Nuclear Trans New Guinea,0.2708333333333333,48,veridical
Wambayan,wamb1258,NA,0.4772727272727273,44,veridical
Meriam,meri1244,NA,0.22916666666666663,48,veridical
Ekonda Mongo,ekon1238,Atlantic-Congo,0.32608695652173914,46,veridical
Ingush,ingu1240,Nakh-Daghestanian,0.3958333333333333,48,veridical
Middle High German,midd1343,Indo-European,0.4047619047619048,42,veridical
Buhid,buhi1245,Austronesian,0.25,48,veridical
Budukh,budu1248,Nakh-Daghestanian,0.3333333333333333,48,veridical
Paiwan,paiw1248,Austronesian,0.10416666666666669,48,veridical
Dampelas,damp1237,Austronesian,0.25,48,veridical
Cinta Larga,cint1239,Tupian,0.2826086956521739,46,veridical
Takuu,taku1257,Austronesian,0.2391304347826087,46,veridical
Namakura,nama1268,Austronesian,0.2916666666666667,48,veridical
Ida'an,idaa1241,Austronesian,0.20833333333333337,48,veridical
Bannoni,bann1247,Austronesian,0.16666666666666666,48,veridical
Dondo,dond1249,Austronesian,0.2916666666666667,48,veridical
Iau,iauu1242,Lakes Plain,0.1875,48,veridical
Alangan,alan1249,Austronesian,0.22916666666666663,48,veridical
Danish,dani1285,Indo-European,0.3958333333333333,48,veridical
Marwari (India),marw1260,Indo-European,0.6585365853658537,41,veridical
Sirionó,siri1273,Tupian,0.2391304347826087,46,veridical
O'du,oduu1239,Austroasiatic,0.2608695652173913,46,veridical
Mokpwe,mokp1239,Atlantic-Congo,0.3333333333333333,48,veridical
Nyoro,nyor1246,Atlantic-Congo,0.375,48,veridical
Urdu,urdu1245,Indo-European,0.6875,48,veridical
Shina (Nakh-Daghestan),shin1265,Nakh-Daghestanian,0.3333333333333333,48,veridical
Murriny Patha,murr1258,NA,0.2916666666666667,48,veridical
Sogeram,soge1235,Nuclear Trans New Guinea,0.30434782608695654,46,veridical
Buli,buli1256,Austronesian,0.2916666666666667,48,veridical
Shila,shil1264,Atlantic-Congo,0.3181818181818182,44,veridical
Warlpiri,warl1254,Pama-Nyungan,0.3958333333333333,48,veridical
Kapingamarangi,kapi1249,Austronesian,0.10416666666666669,48,veridical
Lengua,leng1262,NA,0.30952380952380953,42,veridical
Talaandig-Binukid,binu1244,Austronesian,0.3125,48,veridical
Kwoma,kwom1262,NA,0.25,48,veridical
Swedish,swed1254,Indo-European,0.4166666666666667,48,veridical
Pumé,pume1238,NA,0.3541666666666667,48,veridical
Balinese,bali1278,Austronesian,0.2708333333333333,48,veridical
/Gwi,gwii1239,NA,0.2708333333333333,48,veridical
North Azerbaijani,nort2697,Turkic,0.3333333333333333,48,veridical
Japanese,nucl1643,NA,0.3333333333333333,48,veridical
West Futuna,west2515,Austronesian,0.2916666666666667,48,veridical
Bario,bari1288,Austronesian,0.16666666666666666,48,veridical
Hid,hidd1238,Nakh-Daghestanian,0.3958333333333333,48,veridical
German,stan1295,Indo-European,0.3333333333333333,48,veridical
Bats,bats1242,Nakh-Daghestanian,0.3541666666666667,48,veridical
Ibanag,iban1267,Austronesian,0.22916666666666663,48,veridical
Anuta,anut1237,Austronesian,0.2708333333333333,48,veridical
Bacanese Malay,baca1243,Austronesian,0.32608695652173914,46,veridical
Luvale,luva1239,Atlantic-Congo,0.2727272727272727,44,veridical
Lingua Geral Paulista,tupi1274,Tupian,0.3333333333333333,48,veridical
Kambera,kamb1299,Austronesian,0.3125,48,veridical
Taje,taje1237,Austronesian,0.25,48,veridical
Andi,andi1255,Nakh-Daghestanian,0.3958333333333333,48,veridical
Judeo-Tat,jude1256,Indo-European,0.3541666666666667,48,veridical
Maguindanao,magu1243,Austronesian,0.2127659574468085,47,veridical
Ha,haaa1252,Atlantic-Congo,0.42857142857142855,42,veridical
Central Melanau,cent2101,Austronesian,0.2916666666666667,48,veridical
Tombulu,tomb1243,Austronesian,0.3541666666666667,48,veridical
Phende,phen1239,Atlantic-Congo,0.25,48,veridical
Central Cagayan Agta,cent2084,Austronesian,0.25,48,veridical
Batak Toba,bata1289,Austronesian,0.375,48,veridical
Southeast Ambrym,sout2859,Austronesian,0.2926829268292683,41,veridical
Northern Emberá,nort2972,NA,0.3541666666666667,48,veridical
Kimaama,kima1246,Kolopom,0.1875,48,veridical
Digo,digo1243,Atlantic-Congo,0.380952380952381,42,veridical
Sardinian,sard1257,Indo-European,0.3170731707317073,41,veridical
Makonde,mako1251,Atlantic-Congo,0.25,48,veridical
Tenharim-Parintintin-Diahoi,tenh1241,Tupian,0.3409090909090909,44,veridical
Kumbainggar,kumb1268,Pama-Nyungan,0.47619047619047616,42,veridical
Bungku,bung1269,Austronesian,0.20833333333333337,48,veridical
Western Low Navarrese,west1508,NA,0.2916666666666667,48,veridical
Gigatl,giga1238,Nakh-Daghestanian,0.3958333333333333,48,veridical
Western Apache,west2615,NA,0.3333333333333333,48,veridical
Polish,poli1260,Indo-European,0.5416666666666666,48,veridical
Luangiua,onto1237,Austronesian,0.16666666666666666,48,veridical
Lo-Toga,loto1240,Austronesian,0.2272727272727273,44,veridical
Western Armenian,homs1234,Indo-European,0.3958333333333333,48,veridical
Mele-Fila,mele1250,Austronesian,0.2708333333333333,48,veridical
Tolaki,tola1247,Austronesian,0.1875,48,veridical
Western Bukidnon Manobo,west2555,Austronesian,0.1875,48,veridical
Kashmiri,kash1277,Indo-European,0.5833333333333334,48,veridical
Igbo,nucl1417,Atlantic-Congo,0.3863636363636363,44,veridical
Mocoví,moco1246,NA,0.2916666666666667,48,veridical
Kumyk,kumy1244,Turkic,0.3541666666666667,48,veridical
Tajio,taji1246,Austronesian,0.25,48,veridical
Tausug,taus1251,Austronesian,0.20833333333333337,48,veridical
Iraya,iray1237,Austronesian,0.25,48,veridical
Yakan,yaka1277,Austronesian,0.20833333333333337,48,veridical
Prai,phai1238,Austroasiatic,0.2978723404255319,47,veridical
Komba,komb1273,Nuclear Trans New Guinea,0.3125,48,veridical
Dari,dari1249,Indo-European,0.5208333333333334,48,veridical
Russian,russ1263,Indo-European,0.375,48,veridical
Taumako,taum1237,Austronesian,0.2708333333333333,48,veridical
Aghul,aghu1253,Nakh-Daghestanian,0.2708333333333333,48,veridical
Spanish,stan1288,Indo-European,0.375,48,veridical
Midob,mido1240,NA,0.4666666666666667,45,veridical
Slovenian,slov1268,Indo-European,0.3333333333333333,48,veridical
Mapudungun,mapu1245,NA,0.3125,48,veridical
Rennell-Bellona,renn1242,Austronesian,0.26666666666666666,45,veridical
Breton,bret1244,Indo-European,0.3333333333333333,48,veridical
Aklanon,akla1241,Austronesian,0.2916666666666667,48,veridical
Guugu Yimidhirr,gugu1255,Pama-Nyungan,0.5416666666666666,48,veridical
Tomini,tomi1243,Austronesian,0.25,48,veridical
Onobasulu,onob1238,Bosavi,0.16666666666666666,48,veridical
Javanese,java1254,Austronesian,0.3541666666666667,48,veridical
Modole,modo1249,North Halmahera,0.2272727272727273,44,veridical
Nsong,song1299,Atlantic-Congo,0.2272727272727273,44,veridical
Bukusu,buku1249,Atlantic-Congo,0.3125,48,veridical
Paluai,balu1257,Austronesian,0.2708333333333333,48,veridical
Waorani,waor1240,NA,0.37777777777777777,45,veridical
Telugu,telu1262,Dravidian,0.4583333333333333,48,veridical
Iloko,ilok1237,Austronesian,0.3125,48,veridical
Hungarian,hung1274,Uralic,0.3541666666666667,48,veridical
Kariyarra,kari1304,Pama-Nyungan,0.4375,48,veridical
Western Panjabi,west2386,Indo-European,0.3958333333333333,48,veridical
Rundi,rund1242,Atlantic-Congo,0.4565217391304347,46,veridical
Lamba,lamb1271,Atlantic-Congo,0.32608695652173914,46,veridical
Aneityum,anei1239,Austronesian,0.2708333333333333,48,veridical
Eipomek,eipo1242,Nuclear Trans New Guinea,0.2727272727272727,44,veridical
Neve'ei,vinm1237,Austronesian,0.4186046511627907,43,veridical
Yele,yele1255,Yele,0.2916666666666667,48,veridical
Kazym-Berezover-Suryskarer Khanty,khan1273,Uralic,0.375,48,veridical
Yugumbir,yugu1249,Pama-Nyungan,0.4166666666666667,48,veridical
Hiligaynon,hili1240,Austronesian,0.22916666666666663,48,veridical
Wulguru,wulg1239,Pama-Nyungan,0.4047619047619048,42,veridical
Kui (India),kuii1252,Dravidian,0.5714285714285714,42,veridical
