random_id,condition,block,system,relative1,relative2,relative1_term,relative2_term,distinction
4k1ad46eg9,fmbg,2,0,b,z,šïïnö,šïïnö,0
4k1ad46eg9,fmbg,4,1,mbs,mbd,baumiă,gêă,1
4k1ad46eg9,fmbg,4,1,mzs,mzd,baumiă,gêă,1
4k1ad46eg9,fmbg,4,1,fbs,fbd,baumiă,gêă,1
4k1ad46eg9,fmbg,4,1,fzs,fzd,baumiă,gêă,1
4k1ad46eg9,fmbg,6,2,mbs,mbd,ilug,agivud,1
4k1ad46eg9,fmbg,6,2,mzs,mzd,ilug,agivud,1
4k1ad46eg9,fmbg,6,2,fbs,fbd,ilug,agivud,1
4k1ad46eg9,fmbg,6,2,fzs,fzd,ilug,agivud,1
4k1ad46eg9,fmbg,5,3,mbs,mbd,wupu,kawuka,1
4k1ad46eg9,fmbg,5,3,mzs,mzd,wupu,kawuka,1
4k1ad46eg9,fmbg,5,3,fbs,fbd,wupu,kawuka,1
4k1ad46eg9,fmbg,5,3,fzs,fzd,wupu,kawuka,1
4k1ad46eg9,fmbg,1,4,mbs,mbd,bokokohï,bokokohï,0
4k1ad46eg9,fmbg,1,4,mzs,mzd,kïmy,kïmy,0
4k1ad46eg9,fmbg,1,4,fbs,fbd,bokokohï,bokokohï,0
4k1ad46eg9,fmbg,1,4,fzs,fzd,kïmy,kïmy,0
4k1ad46eg9,fmbg,3,5,mbs,mbd,kvurddåh,smêvskêv,1
4k1ad46eg9,fmbg,3,5,mzs,mzd,smêvskêv,kvurddåh,1
4k1ad46eg9,fmbg,3,5,fbs,fbd,kvurddåh,smêvskêv,1
4k1ad46eg9,fmbg,3,5,fzs,fzd,smêvskêv,kvurddåh,1
4k1ad46eg9,fmbg,8,6,mbs,mbd,ngcāžo,vbāžo,1
4k1ad46eg9,fmbg,8,6,mzs,mzd,vbāžo,ngcāžo,1
4k1ad46eg9,fmbg,8,6,fbs,fbd,vbāžo,ngcāžo,1
4k1ad46eg9,fmbg,8,6,fzs,fzd,vbāžo,ngcāžo,1
4k1ad46eg9,fmbg,7,7,mbs,mbd,aqinudød,emøyeç,1
4k1ad46eg9,fmbg,7,7,mzs,mzd,emøyeç,aqinudød,1
4k1ad46eg9,fmbg,7,7,fbs,fbd,aqinudød,emøyeç,1
4k1ad46eg9,fmbg,7,7,fzs,fzd,emøyeç,aqinudød,1
srcyko4mfl,fmbg,5,0,mbs,mbd,bybï,bybï,0
srcyko4mfl,fmbg,5,0,mzs,mzd,bybï,bybï,0
srcyko4mfl,fmbg,5,0,fbs,fbd,bybï,bybï,0
srcyko4mfl,fmbg,5,0,fzs,fzd,bybï,bybï,0
srcyko4mfl,fmbg,5,0,b,z,hïlaki,bokokohï,1
srcyko4mfl,fmbg,7,1,mbs,mbd,nyumuo,nyumuo,0
srcyko4mfl,fmbg,7,1,mzs,mzd,nyumuo,nyumuo,0
srcyko4mfl,fmbg,7,1,fbs,fbd,gêă,gêă,0
srcyko4mfl,fmbg,7,1,fzs,fzd,gêă,gêă,0
srcyko4mfl,fmbg,2,2,mbs,mbd,cžunge,byure,1
srcyko4mfl,fmbg,2,2,mzs,mzd,cžunge,byure,1
srcyko4mfl,fmbg,2,2,fbs,fbd,vruži,vruži,0
srcyko4mfl,fmbg,2,2,fzs,fzd,vruži,vruži,0
srcyko4mfl,fmbg,6,3,mbs,mbd,içiqusem,orinoçim,1
srcyko4mfl,fmbg,6,3,mzs,mzd,orinoçim,içiqusem,1
srcyko4mfl,fmbg,6,3,fbs,fbd,içiqusem,orinoçim,1
srcyko4mfl,fmbg,6,3,fzs,fzd,orinoçim,içiqusem,1
