x,y,z,system,system_type,system_group,data_type
fzs,b,0,10,2x2 side,2x2,perfect
fzs,fzd,1,10,2x2 side,2x2,perfect
fzs,fzs,1,10,2x2 side,2x2,perfect
fzs,fbd,1,10,2x2 side,2x2,perfect
fzs,fbs,1,10,2x2 side,2x2,perfect
fbd,mzd,0,10,2x2 side,2x2,perfect
fbd,mzs,0,10,2x2 side,2x2,perfect
fbd,mbd,0,10,2x2 side,2x2,perfect
fbd,mbs,0,10,2x2 side,2x2,perfect
fbd,z,0,10,2x2 side,2x2,perfect
fbd,b,0,10,2x2 side,2x2,perfect
fbd,fzd,1,10,2x2 side,2x2,perfect
fbd,fzs,1,10,2x2 side,2x2,perfect
fbd,fbd,1,10,2x2 side,2x2,perfect
fbd,fbs,1,10,2x2 side,2x2,perfect
fbs,mzd,0,10,2x2 side,2x2,perfect
fbs,mzs,0,10,2x2 side,2x2,perfect
fbs,mbd,0,10,2x2 side,2x2,perfect
fbs,mbs,0,10,2x2 side,2x2,perfect
fbs,z,0,10,2x2 side,2x2,perfect
fbs,b,0,10,2x2 side,2x2,perfect
fbs,fzd,1,10,2x2 side,2x2,perfect
fbs,fzs,1,10,2x2 side,2x2,perfect
fbs,fbd,1,10,2x2 side,2x2,perfect
fbs,fbs,1,10,2x2 side,2x2,perfect
mzd,mzd,1,11,2x2 gen,2x2,perfect
mzd,mzs,1,11,2x2 gen,2x2,perfect
mzd,mbd,0,11,2x2 gen,2x2,perfect
mzd,mbs,0,11,2x2 gen,2x2,perfect
mzd,z,0,11,2x2 gen,2x2,perfect
mzd,b,0,11,2x2 gen,2x2,perfect
mzd,fzd,1,11,2x2 gen,2x2,perfect
mzd,fzs,1,11,2x2 gen,2x2,perfect
mzd,fbd,0,11,2x2 gen,2x2,perfect
mzd,fbs,0,11,2x2 gen,2x2,perfect
mzs,mzd,1,11,2x2 gen,2x2,perfect
mzs,mzs,1,11,2x2 gen,2x2,perfect
mzs,mbd,0,11,2x2 gen,2x2,perfect
mzs,mbs,0,11,2x2 gen,2x2,perfect
mzs,z,0,11,2x2 gen,2x2,perfect
mzs,b,0,11,2x2 gen,2x2,perfect
mzs,fzd,1,11,2x2 gen,2x2,perfect
mzs,fzs,1,11,2x2 gen,2x2,perfect
mzs,fbd,0,11,2x2 gen,2x2,perfect
mzs,fbs,0,11,2x2 gen,2x2,perfect
mbd,mzd,0,11,2x2 gen,2x2,perfect
mbd,mzs,0,11,2x2 gen,2x2,perfect
mbd,mbd,1,11,2x2 gen,2x2,perfect
mbd,mbs,1,11,2x2 gen,2x2,perfect
mbd,z,0,11,2x2 gen,2x2,perfect
mbd,b,0,11,2x2 gen,2x2,perfect
mbd,fzd,0,11,2x2 gen,2x2,perfect
mbd,fzs,0,11,2x2 gen,2x2,perfect
mbd,fbd,1,11,2x2 gen,2x2,perfect
mbd,fbs,1,11,2x2 gen,2x2,perfect
mbs,mzd,0,11,2x2 gen,2x2,perfect
mbs,mzs,0,11,2x2 gen,2x2,perfect
mbs,mbd,1,11,2x2 gen,2x2,perfect
mbs,mbs,1,11,2x2 gen,2x2,perfect
mbs,z,0,11,2x2 gen,2x2,perfect
mbs,b,0,11,2x2 gen,2x2,perfect
mbs,fzd,0,11,2x2 gen,2x2,perfect
mbs,fzs,0,11,2x2 gen,2x2,perfect
mbs,fbd,1,11,2x2 gen,2x2,perfect
mbs,fbs,1,11,2x2 gen,2x2,perfect
z,mzd,0,11,2x2 gen,2x2,perfect
z,mzs,0,11,2x2 gen,2x2,perfect
z,mbd,0,11,2x2 gen,2x2,perfect
z,mbs,0,11,2x2 gen,2x2,perfect
z,z,0,11,2x2 gen,2x2,perfect
z,b,0,11,2x2 gen,2x2,perfect
z,fzd,0,11,2x2 gen,2x2,perfect
z,fzs,0,11,2x2 gen,2x2,perfect
z,fbd,0,11,2x2 gen,2x2,perfect
z,fbs,0,11,2x2 gen,2x2,perfect
b,mzd,0,11,2x2 gen,2x2,perfect
b,mzs,0,11,2x2 gen,2x2,perfect
b,mbd,0,11,2x2 gen,2x2,perfect
b,mbs,0,11,2x2 gen,2x2,perfect
b,z,0,11,2x2 gen,2x2,perfect
b,b,0,11,2x2 gen,2x2,perfect
b,fzd,0,11,2x2 gen,2x2,perfect
b,fzs,0,11,2x2 gen,2x2,perfect
b,fbd,0,11,2x2 gen,2x2,perfect
b,fbs,0,11,2x2 gen,2x2,perfect
fzd,mzd,1,11,2x2 gen,2x2,perfect
fzd,mzs,1,11,2x2 gen,2x2,perfect
fzd,mbd,0,11,2x2 gen,2x2,perfect
fzd,mbs,0,11,2x2 gen,2x2,perfect
fzd,z,0,11,2x2 gen,2x2,perfect
fzd,b,0,11,2x2 gen,2x2,perfect
fzd,fzd,1,11,2x2 gen,2x2,perfect
fzd,fzs,1,11,2x2 gen,2x2,perfect
fzd,fbd,0,11,2x2 gen,2x2,perfect
fzd,fbs,0,11,2x2 gen,2x2,perfect
fzs,mzd,1,11,2x2 gen,2x2,perfect
fzs,mzs,1,11,2x2 gen,2x2,perfect
fzs,mbd,0,11,2x2 gen,2x2,perfect
fzs,mbs,0,11,2x2 gen,2x2,perfect
fzs,z,0,11,2x2 gen,2x2,perfect
fzs,b,0,11,2x2 gen,2x2,perfect
fzs,fzd,1,11,2x2 gen,2x2,perfect
fzs,fzs,1,11,2x2 gen,2x2,perfect
fzs,fbd,0,11,2x2 gen,2x2,perfect
fzs,fbs,0,11,2x2 gen,2x2,perfect
fbd,mzd,0,11,2x2 gen,2x2,perfect
fbd,mzs,0,11,2x2 gen,2x2,perfect
