language,family,code,true_value,simulated_mean,sd,z
Cree,Algic,cree1272,0.7998737373737373,0.7998737373737372,2.0811870189219222e-16,0.5334566353389347
/Gwi,,gwii1239,0.8144781144781147,0.813844917929293,0.00733385184470312,0.08633887924515192
Yaqui,Uto-Aztecan,yaqu1251,0.796875,0.794315625,0.02121694096669864,0.12062884107643673
Northern Pomo,,nort2966,0.7049933862433863,0.8045236276455026,0.025006074306317263,-3.9802425675817523
Afrikaans,Indo-European,afri1274,0.8222222222222221,0.8747131944444445,0.016784600557528076,-3.1273292469673732
North Ambrym,Austronesian,nort2839,0.7182539682539684,0.7582003968253969,0.02285149385592697,-1.7480882791856354
Mangei,Austronesian,mang1407,0.7708333333333333,0.79253125,0.041219423905703184,-0.5264002892496662
Rapanui,Austronesian,rapa1244,0.7544642857142858,0.7544642857142859,1.7721886126795741e-16,-0.6264700137907351
Pitta Pitta,Pama-Nyungan,pitt1247,0.7430555555555557,0.7519649305555555,0.015000268126300882,-0.5939477164663761
Termanu,Austronesian,term1237,0.7474074074074072,0.7533023941798942,0.016069775613817033,-0.36683690638582483
Arosi,Austronesian,aros1241,0.8777777777777778,0.9281174603174603,0.015112636977783627,-3.330966171799439
Gujarati,Indo-European,guja1252,0.8025236337736338,0.8436057417119918,0.01130424103745549,-3.6342208028151965
North Muyu,Nuclear Trans New Guinea,nort2916,0.75,0.75,0.0,
Kawaiisu,Uto-Aztecan,kawa1283,0.8541666666666667,0.8541666666666665,2.220446049250313e-16,1.0
Kartujarra,Pama-Nyungan,kart1247,0.7925000000000001,0.8052135416666667,0.01629131549999834,-0.7803876652359905
Yuwaalaraay-Gamilaraay,Pama-Nyungan,gami1243,0.8816964285714286,0.8181958705357143,0.014713933625684586,4.315675172332433
Shanghainese,Sino-Tibetan,shan1293,0.7837301587301587,0.7837301587301586,7.056687937132857e-17,1.5732919388188815
Sinhala,Indo-European,sinh1246,0.7413194444444445,0.7890181795634922,0.014530335195854735,-3.2827002595683625
Rahambuu,Austronesian,raha1237,0.8125,0.8125,0.0,
Bario,Austronesian,bari1288,0.5238095238095237,0.5238095238095236,1.1102230246251565e-16,1.0
Gela,Austronesian,gela1263,0.890625,0.958953125,0.0191581297507579,-3.5665342018730657
Alangan,Austronesian,alan1249,0.8118055555555556,0.7995194444444443,0.008749369906766547,1.4042281035128534
Meyah,,meya1236,0.8452380952380952,0.845238095238095,2.220446049250313e-16,1.0
Lelepa,Austronesian,lele1267,0.737962962962963,0.738762962962963,0.01564201074031085,-0.051144319824448205
Sawai,Austronesian,sawa1247,0.8765734265734265,0.874099256993007,0.004817182858042008,0.5136133822051386
Touo,Touo,touo1238,0.5815476190476191,0.6356254133597884,0.018201344549405647,-2.9710878866877546
Gwich'in,,gwic1235,0.8061011904761904,0.8061011904761908,3.0797434617380487e-16,-1.0814761408717501
Rundi,Atlantic-Congo,rund1242,0.7291414141414141,0.8260229797979798,0.020396958365735286,-4.749804550237078
Wersing,,wers1238,0.7166666666666667,0.7166666666666668,1.1102230246251565e-16,-1.0
Bemba (Zambia),Atlantic-Congo,bemb1257,0.7722222222222223,0.7659144841269842,0.008349936971529096,0.7554234381344064
Southeastern Tepehuan,Uto-Aztecan,sout2976,0.8952380952380953,0.8531313095238096,0.012542682903999137,3.3570796644201457
Lingua Geral Paulista,Tupian,tupi1274,0.6988343253968256,0.6969742311507937,0.006934679615984101,0.2682307401403827
Aghul,Nakh-Daghestanian,aghu1253,0.8229166666666666,0.7977482638888889,0.005983539372081169,4.206273446651325
Dhuwal-Dhuwala,Pama-Nyungan,dhuw1248,0.8074999999999999,0.800234375,0.016643459591647997,0.4365453564501613
Czech,Indo-European,czec1258,0.7657407407407408,0.742062037037037,0.010099435795877992,2.344557080442862
Panare,Cariban,enap1235,0.8583333333333334,0.8405128472222223,0.013408140977712094,1.3290795600026497
Phende,Atlantic-Congo,phen1239,0.8999999999999999,0.9028849206349207,0.004093734823912775,-0.7047160500159961
Vera'a,Austronesian,vera1241,0.74375,0.7437500000000002,2.220446049250313e-16,-1.0
Luiseno-Juaneño,Uto-Aztecan,luis1253,0.925,0.8844113095238095,0.01926187881679047,2.1072030855478947
Kala Lagaw Ya,Pama-Nyungan,kala1377,0.8202380952380951,0.820292857142857,0.00704876386070428,-0.007769008274945212
Itonama,,iton1250,0.7041666666666667,0.7734572916666667,0.012847160055217462,-5.393458531082889
Kayardild-Yangkaal,,kaya1318,0.7514880952380952,0.751488095238095,2.220446049250313e-16,1.0
Central Subanen,Austronesian,cent2089,0.6428571428571428,0.6428571428571427,1.1102230246251565e-16,1.0
Nage,Austronesian,nage1237,0.8500000000000001,0.8499999999999998,3.3306690738754696e-16,1.0
Atsugewi,,atsu1245,0.8651190476190476,0.8609786904761906,0.008389658001395885,0.49350726122186483
Māngarongaro,Austronesian,penr1237,0.6469246031746031,0.673227058531746,0.012772302486512432,-2.0593354553666696
Kabaena,Austronesian,kaba1285,0.6666666666666666,0.6666666666666665,1.1102230246251565e-16,1.0
Amharic,Afro-Asiatic,amha1245,0.6617229992229993,0.7679376286907538,0.013786819432016087,-7.704070542992702
Bilibil,Austronesian,bilb1241,0.6592592592592592,0.6781450396825396,0.011028045036110852,-1.7125229686168046
Godoberi,Nakh-Daghestanian,ghod1238,0.8834498834498835,0.8115498251748252,0.012187561380921474,5.8994622490772715
Naasioi,South Bougainville,naas1242,0.84375,0.84375,0.0,
Bunganditj,Pama-Nyungan,bung1264,0.6999999999999998,0.713568287037037,0.011065242841461632,-1.2262077960184106
Galela,North Halmahera,gale1259,0.5915614478114478,0.600103345959596,0.01258482279828015,-0.6787460010414728
Korowai,Nuclear Trans New Guinea,koro1312,0.875,0.875,0.0,
Northern Ojibwa,Algic,nort2961,0.5706632653061224,0.6062806122448979,0.022679248773200166,-1.570481778076536
Church Slavic,Indo-European,chur1257,0.8392857142857143,0.7964776785714286,0.01267720124149327,3.3767733822961126
Buli,Austronesian,buli1256,0.8015782828282828,0.8179781250000001,0.008559827825485818,-1.9159079488595347
Wawonii,Austronesian,wawo1239,0.6972222222222223,0.7117618055555556,0.0073296968243076405,-1.983654124017152
Duungidjawu,Pama-Nyungan,duun1241,0.8483333333333333,0.8540336111111112,0.009713113030210977,-0.5868641454133386
North Saami,Uralic,nort2671,0.7586429773929773,0.79723379253848,0.027904923594684994,-1.3829392872035353
Sika,Austronesian,sika1262,0.9375,0.9375,0.0,
Waffa,Nuclear Trans New Guinea,waff1241,0.8520833333333333,0.8520833333333331,2.220446049250313e-16,1.0
Imbongu,Nuclear Trans New Guinea,imbo1238,0.4921875,0.4921875,0.0,
Minigir,Austronesian,mini1251,0.5381944444444445,0.5811927083333334,0.00883432692516564,-4.867180516763888
Futuna-Aniwa,Austronesian,futu1245,0.7951388888888888,0.780939236111111,0.009701189271339698,1.4637022720222501
Choctaw,,choc1276,0.65,0.6500000000000002,2.220446049250313e-16,-1.0
Northern Tosk Albanian,Indo-European,tosk1239,0.9041666666666667,0.9117703125000001,0.0075673851026884,-1.00479171208455
Jingpho,Sino-Tibetan,jing1260,0.65625,0.65625,0.0,
Kalam,Nuclear Trans New Guinea,kala1397,0.8428571428571429,0.847280431547619,0.011523327162527816,-0.3838551685714554
Limilngan-Wulna,,limi1242,0.6864285714285714,0.7349280952380952,0.028168645822669477,-1.7217556042574302
Hungarian,Uralic,hung1274,0.9103174603174603,0.8827597718253968,0.005811582753795213,4.7418559899309995
Bulgarian,Indo-European,bulg1262,0.7991161616161616,0.829667781986532,0.011558446061220556,-2.643229047274214
Wirangu,Pama-Nyungan,wira1265,0.7720833333333333,0.8289987797619048,0.017459235556394885,-3.259904836310246
Mbuun,Atlantic-Congo,mpuo1241,0.9791666666666666,0.9320128472222222,0.008980741455260075,5.250548596611266
Huichol,Uto-Aztecan,huic1243,0.8571428571428572,0.8571428571428575,3.3306690738754696e-16,-1.0
Luburua,Austronesian,lubu1242,0.5415674603174603,0.6852542162698412,0.035014169937339884,-4.103674489771358
Western Pantar,,lamm1241,0.7203373015873016,0.7480275710978835,0.019164141259198235,-1.4449000941950072
Colombian Sign Language,,colo1249,0.5833333333333334,0.5833333333333334,0.0,
Hunzib,Nakh-Daghestanian,hunz1247,0.9084821428571429,0.897780505952381,0.003201723533349895,3.3424612691543034
Balochic,Indo-European,balo1260,0.8253968253968255,0.8790416666666667,0.009490865848225056,-5.652259986360855
Bardic,,bard1254,0.875,0.875,0.0,
