language,language_family,code,true_value,simulated_mean,simulated_sd,z
Budza,Atlantic-Congo,budz1238,1.0,1.0,0.0,
Mangareva,Austronesian,mang1401,3.6880100000000002,4.09096521,0.21162276468885838,-1.9041203369233508
Vlax Romani,Indo-European,vlax1238,2.0,2.0,0.0,
Jingpho,Sino-Tibetan,jing1260,1.81128,1.8112800000000002,2.220446049250313e-16,-1.0
Vaeakau-Taumako,Austronesian,pile1238,3.4598699999999996,3.17078386,0.12245097917411848,2.3608315911376696
Avestan,Indo-European,aves1237,2.0,1.72855018,0.41750471605787587,0.6501718652739019
Afrikaans,Indo-European,afri1274,2.0,3.3463320100000002,0.1534311060647739,-8.774830896621577
Birhor,Austroasiatic,birh1242,2.4000000000000004,3.2656051099999996,0.2883790719427952,-3.0016224969740746
Lithuanian,Indo-European,lith1251,2.06291,3.5657043400000004,0.17757850059386243,-8.462704296828266
North Muyu,Nuclear Trans New Guinea,nort2916,2.5,2.5,0.0,
Tohono O'odham,Uto-Aztecan,toho1245,1.0,1.0,0.0,
Paama,Austronesian,paam1238,3.0,3.0,0.0,
Yami,Austronesian,yami1254,1.95544,3.3332899800000004,0.1737177906767168,-7.931542156002517
Barok,Austronesian,baro1253,1.0,2.59682336,0.2900161223851364,-5.5059813463730345
Old Prussian,Indo-European,prus1238,2.0,2.0,0.0,
Kunzakh,Nakh-Daghestanian,kunz1243,2.0,2.85550261,0.11281037464474579,-7.583545508948856
North Efate,Austronesian,nort2836,2.0,2.0,0.0,
Momu-Fas,Baibai-Fas,fass1245,2.14281,3.62309225,0.1517904559438356,-9.752143115952714
Gumatj,Pama-Nyungan,guma1253,1.86165,3.12327001,0.14574886096467413,-8.656122604661626
Kaonde,Atlantic-Congo,kaon1241,2.0,2.0,0.0,
Maragus,Austronesian,mara1399,2.0,2.0,0.0,
Bera,Atlantic-Congo,bera1259,2.5,3.3290609699999996,0.13646702471058383,-6.07517436361094
Tenharim-Parintintin-Diahoi,Tupian,tenh1241,2.16666,3.87735175,0.18464488359615466,-9.264766597819914
Javanese,Austronesian,java1254,2.0,3.15235843,0.13308119985721162,-8.65906252150126
Ende (Papua New Guinea),,ende1235,2.5996,3.2403970799999997,0.13677519373071126,-4.685038730499828
Bafia,Atlantic-Congo,bafi1243,1.9183,1.9182999999999992,6.661338147750939e-16,1.0
Rakahanga-Manihiki,Austronesian,raka1237,3.0,3.0,0.0,
Samoan,Austronesian,samo1305,3.8609600000000004,3.5805542400000006,0.20507960161123387,1.3673020514812613
Bario,Austronesian,bari1288,1.25019,1.25019,0.0,
Jingulu,,djin1251,3.0,3.0,0.0,
Taje,Austronesian,taje1237,1.3333300000000001,2.63365414,0.12477320697273273,-10.421501310647292
Mono (USA),Uto-Aztecan,mono1275,2.9487699999999997,2.948769999999999,8.881784197001252e-16,1.0
Satawalese,Austronesian,sata1237,2.0,2.0,0.0,
Torete,Austronesian,tore1237,2.0,2.0,0.0,
Judeo-Tat,Indo-European,jude1256,2.33334,3.0902914200000007,0.11402304930751324,-6.63858250237238
Yalic,Nuclear Trans New Guinea,yali1257,2.0,2.0,0.0,
Macedonian,Indo-European,mace1250,2.66666,3.5356074900000003,0.1544688335250833,-5.625390379211332
Loniu,Austronesian,loni1238,2.0,2.0986681799999998,0.3278938756763956,-0.3009149829238567
Myene,Atlantic-Congo,myen1241,2.46387,3.97274413,0.21719000189843707,-6.947254094622568
Mbyá Guaraní,Tupian,mbya1239,2.68873,2.68873,0.0,
Solu-Khumbu Sherpa,Sino-Tibetan,sher1255,2.0,2.0,0.0,
Takuu,Austronesian,taku1257,1.67549,2.22386107,0.09163526689520311,-5.984279727445262
Mangaia,Austronesian,mang1402,3.0,3.0,0.0,
Northern Kankanay,Austronesian,nort2877,3.0,3.0,0.0,
Minangkabau,Austronesian,mina1268,2.25019,2.2501899999999995,4.440892098500626e-16,1.0
Tikopia,Austronesian,tiko1237,2.9183,2.83363525,0.07547360610264692,1.121779577947458
Ngarinman,Pama-Nyungan,ngar1235,1.75,2.9624083,0.2148063359198466,-5.644192452742181
Cinta Larga,Tupian,cint1239,2.6,3.73838836,0.18689137654720833,-6.0911764953073995
Western Mari,Uralic,west2392,3.0,3.0,0.0,
Gayo,Austronesian,gayo1244,2.5,2.5,0.0,
Ute-Southern Paiute,Uto-Aztecan,utes1238,3.75,3.75,0.0,
Sakata,Atlantic-Congo,saka1287,1.18872,1.31828103,0.20997088408786374,-0.6170428369763132
Malayalam,Dravidian,mala1464,3.0,3.0,0.0,
Bila,Atlantic-Congo,bila1255,2.0,3.94314361,0.1899438523397583,-10.230094767817178
Wogeo,Austronesian,woge1237,2.5,2.5,0.0,
Oceanic,Austronesian,ocea1241,3.0,3.0,0.0,
Lengua,,leng1262,2.52193,2.52193,0.0,
Kosraean,Austronesian,kosr1238,3.0,3.0,0.0,
Nimboran,Nimboranic,nucl1633,2.9474,3.91537909,0.1661810521559901,-5.824846319370885
Saaroa,Austronesian,saar1237,1.6666699999999999,2.64821632,0.1103663486170382,-8.893528981427862
Mandan,,mand1446,2.90564,2.905639999999999,8.881784197001252e-16,1.0
Vurës,Austronesian,vure1239,2.5,2.5,0.0,
Warlmanpa,Pama-Nyungan,warl1255,1.75,2.9574667100000003,0.21115835862280208,-5.718299374342698
German,Indo-European,stan1295,2.0,3.3376827899999997,0.15091307448831562,-8.863929083252287
Korowai,Nuclear Trans New Guinea,koro1312,3.0,3.0,0.0,
Grass Koiari,Koiarian,gras1249,2.2912,2.7371439399999997,0.11235576533616955,-3.9690347768601923
Norwegian Bokmål,Indo-European,norw1259,2.0,3.3399065099999996,0.15756521553096642,-8.503821769828802
Yerukula,Dravidian,yeru1240,2.58641,2.5864100000000003,4.440892098500626e-16,-1.0
Anuta,Austronesian,anut1237,3.33333,3.49584516,0.17764351843727483,-0.9148386692047157
Mala,,mala1494,3.5,3.5,0.0,
Mbala,Atlantic-Congo,mbal1257,2.33333,2.6477891600000003,0.1250291353321073,-2.515087056826566
Southern Tepehuan,Uto-Aztecan,sout2975,2.0,2.0,0.0,
Niuean,Austronesian,niue1239,2.6272599999999997,2.3704836800000004,0.08898886742428853,2.8854881226403273
Mota,Austronesian,mota1237,1.5,3.6439078,0.2797885765394292,-7.662599476064992
Tuscarora,,tusc1257,2.5,2.5,0.0,
Itbayat,Austronesian,ivat1242,1.3333300000000001,2.6399481299999996,0.1310896676340401,-9.967361681377165
Kuuku-Ya'u,Pama-Nyungan,kuuk1238,2.10784,3.3041925300000003,0.236151085198648,-5.066047140937931
Nguna,Austronesian,ngun1274,1.55098,3.8067418600000003,0.2203056966928917,-10.239235271090399
Uma Juman,Austronesian,umaj1240,2.58641,1.9953213699999999,0.12787370647956953,4.622440736825273
Riuk Bekati',Austronesian,beka1241,2.0,2.0,0.0,
Ngadjunmaya,Pama-Nyungan,ngad1258,3.0,3.0,0.0,
Umpila,Pama-Nyungan,umpi1239,1.87418,2.99908187,0.26815009902516,-4.195045514021804
Hiw,Austronesian,hiww1237,2.0,2.0,0.0,
Blood,Algic,bloo1239,3.0,3.0,0.0,
Elamite,,elam1244,2.0,1.76968237,0.411495293938926,0.5597090255768119
Kilmeri,Border,kilm1241,3.5,3.5,0.0,
Sanapaná,,sana1298,1.8,2.80669163,0.09660774226035458,-10.42040323525003
Umbundu,Atlantic-Congo,umbu1257,2.0,2.9575959599999995,0.2103891106860771,-4.551547163621193
Binongan Itneg,Austronesian,bino1237,1.0,1.0,0.0,
Bindal-Mount Elliot,Pama-Nyungan,bind1236,2.0,2.0,0.0,
Kansa,,kans1243,3.75,3.75,0.0,
Paluai,Austronesian,balu1257,2.33333,3.6864822800000003,0.16314636328708526,-8.294100173222288
Koya,Dravidian,koya1251,2.34175,4.02421113,0.24314797218529935,-6.919494803427035
Iau,Lakes Plain,iauu1242,3.45915,3.28428707,0.10328263995907105,1.6930524826756466
Tolowa-Chetco,,tolo1259,3.0,3.1113832299999995,0.3170329543124296,-0.3513301329874798
Pampanga,Austronesian,pamp1243,1.3333300000000001,2.6278701899999994,0.1267019833588405,-10.217205411328505
Kunza,,kunz1244,1.9183,1.9182999999999992,6.661338147750939e-16,1.0
Rotuman,Austronesian,rotu1241,3.2931999999999997,3.2898286199999998,0.11533873770028699,0.029230248806438385
Indonesian,Austronesian,indo1316,1.3333300000000001,2.6336609699999998,0.13099428798676338,-9.926623442782441
Northern Tosk Albanian,Indo-European,tosk1239,2.16667,3.1274550100000003,0.1266926843933773,-7.583587123442656
Nuclear Miami,Algic,nucl1653,2.5,2.5,0.0,
Maquiritari,Cariban,maqu1238,2.55011,2.33319152,0.09962753038236764,2.177294560725062
Eastern Armenian,Indo-European,nucl1235,2.33334,3.0827843300000004,0.11449133436357137,-6.545860734054445
Dzongkha,Sino-Tibetan,dzon1239,3.0,3.0,0.0,
Sateré-Mawé,Tupian,sate1243,2.25,2.8790818600000003,0.40705748177958895,-1.5454374091092908
Gujarati,Indo-European,guja1252,1.83333,4.12586125,0.22664713211981638,-10.114980183327708
Kayardild-Yangkaal,,kaya1318,3.25,3.25,0.0,
Mbuun,Atlantic-Congo,mpuo1241,2.0,3.15262246,0.13622163232155313,-8.461376070426303
Bukat,Austronesian,buka1261,1.0,2.5462538699999997,0.10933110634454907,-14.142853957107985
Bilibil,Austronesian,bilb1241,1.6666699999999999,3.31022917,0.11008524882022613,-14.929876505834144
Southwestern Alaya-Athima,Pama-Nyungan,kunj1248,2.8,3.21739304,0.2469097128773156,-1.690468289545962
Kuot,,kuot1243,1.61371,3.2368003200000004,0.3095799314517942,-5.242879641417382
"!Kung, Southeastern Ju, or Ju'hoan",Kxa,juho1239,2.5,2.5,0.0,
Warrnambool,Pama-Nyungan,warr1257,3.0,3.0,0.0,
Bontok,Austronesian,bont1247,1.79176,2.24878397,0.10693272140527939,-4.273939389121692
Bihari,Indo-European,biha1245,2.0,2.0,0.0,
Djambarrpuyngu,Pama-Nyungan,djam1256,1.25,3.48254007,0.24247974183278712,-9.20711995618813
Yalarnnga,Pama-Nyungan,yala1262,1.5,2.6401228,0.12172937574045146,-9.366044909578301
Gogo,Atlantic-Congo,gogo1263,2.0677399999999997,3.53141957,0.208042914717409,-7.03546944623498
Miami,Algic,miam1252,2.75,2.75,0.0,
Kazakh,Turkic,kaza1248,2.9183,2.9183000000000003,4.440892098500626e-16,-1.0
Mafea,Austronesian,mafe1237,2.0834,3.5165749099999997,0.16080988325657072,-8.912231518216961
Wapishana,Arawakan,wapi1253,2.16667,3.11689686,0.12874159670106786,-7.380884534206795
Nganasan,Uralic,ngan1291,2.5,2.5,0.0,
Selkup,Uralic,selk1253,3.0,3.0,0.0,
Wulguru,Pama-Nyungan,wulg1239,1.83333,2.8861193000000003,0.12510383059247226,-8.415324255173916
Asera,Austronesian,aser1237,2.0,2.0,0.0,
Gupapuyngu,Pama-Nyungan,gupa1247,2.07317,3.92121464,0.21578692148939518,-8.564210598327767
Mattole-Bear River,,matt1238,1.0,1.665,0.4719904660054057,-1.4089267641952408
Kei,Austronesian,keii1239,2.0,1.558,0.4966246067202068,0.8900082557709795
Hewa,Sepik,hewa1241,1.6666699999999999,3.3120016899999998,0.10792844248039485,-15.24465332943977
Yámana,,yama1264,1.6666699999999999,2.64372638,0.1035468538821707,-9.435886686734335
Central Subanen,Austronesian,cent2089,1.0,1.0,0.0,
Dhuwal,Pama-Nyungan,dhuw1249,2.1871,3.1207123899999996,0.12959453711475613,-7.204102972128251
Paakantyi,Pama-Nyungan,darl1243,2.25,3.06267479,0.22986859332443807,-3.535388537628476
Mapudungun,,mapu1245,2.0,3.15544549,0.13390309645097795,-8.628967668593159
Thao,Austronesian,thao1240,1.58641,1.5864100000000005,4.440892098500626e-16,-1.0
Kulisusu,Austronesian,kuli1254,0.66666,2.0435972099999993,0.105690384111876,-13.028027304191417
Yawa,Yawa-Saweru,nucl1454,3.33333,3.98236525,0.17351322132834,-3.740552132173415
Alamblak,Sepik,alam1246,3.5,3.5,0.0,
Konawe,Austronesian,kona1243,2.0,2.0,0.0,
Kikuyu,Atlantic-Congo,kiku1240,0.83333,3.84364642,0.205720614428364,-14.63303241809173
Kumaoni,Indo-European,kuma1273,3.0,3.0,0.0,
Gunya,Pama-Nyungan,guny1241,3.0,3.0,0.0,
Djinang,Pama-Nyungan,djin1253,2.0,3.44883465,0.20253157422554513,-7.153623604320257
Zabana,Austronesian,zaba1237,2.0,2.0,0.0,
Fang (Equatorial Guinea),Atlantic-Congo,fang1246,4.0,3.6403353099999998,0.16843368108577303,2.1353489853187075
Pashto,Indo-European,pash1269,2.5,4.1068918100000005,0.22399370419327394,-7.173825781341992
Taliabu,Austronesian,tali1262,2.5,2.5,0.0,
Kariyarra,Pama-Nyungan,kari1304,3.18872,4.08806633,0.2145642263832233,-4.191501748263101
Kashaya,,kash1280,4.24875,4.15495045,0.22589421155288045,0.4152366249457528
Northern Mansi,Uralic,mans1258,2.33334,3.0793561400000002,0.1183398531387478,-6.304014414529752
Mayo,Uto-Aztecan,mayo1264,2.5219300000000002,2.5219300000000002,0.0,
Maranao,Austronesian,mara1404,1.3333300000000001,2.6394070299999997,0.12906995045353933,-10.119141019350911
Western Canadian Inuktitut,,west2618,3.0,3.0,0.0,
Rade,Austronesian,rade1240,2.75,2.75,0.0,
Komba,Nuclear Trans New Guinea,komb1273,2.16667,3.35270077,0.14352471141342563,-8.263599754495353
Arosi,Austronesian,aros1241,0.64343,2.24316504,0.22308371075495048,-7.171007845378958
Negerhollands,Indo-European,nege1244,2.0,1.73340249,0.4026831719196866,0.6620527714854985
Kawaiisu,Uto-Aztecan,kawa1283,3.0,3.0,0.0,
Waimaha,,waim1255,3.16667,4.274239789999999,0.24490787646471457,-4.522393505623222
Modole,North Halmahera,modo1249,1.8,2.8743955999999997,0.15495298547701497,-6.93368763881849
Tagalog,Austronesian,taga1270,1.1,2.27305265,0.1070760785352055,-10.955319489164074
Western Apache,,west2615,2.06327,3.93865828,0.2032649745112069,-9.226322855227579
Palauan,Austronesian,pala1344,2.0,3.2318054000000003,0.23960034979072964,-5.141083479535304
Munggava,Austronesian,mung1271,2.30631,3.51312704,0.26043970992695875,-4.633767409503168
Nogai,Turkic,noga1249,2.0,2.8677815300000002,0.11437029861707586,-7.587472801006027
Aguaruna,,agua1253,2.33333,3.37750425,0.11491460843877728,-9.086523151286736
Waiwai,Cariban,waiw1244,2.3637200000000003,2.5213978000000004,0.08317625780690066,-1.8957068297789956
Cebuano,Austronesian,cebu1242,1.5,2.6415042799999995,0.1160251887948544,-9.838417776835577
Cocama-Cocamilla,Tupian,coca1259,2.63413,3.23234872,0.13201158774577934,-4.531562192494927
Emae,Austronesian,emae1237,1.0,1.0,0.0,
Onondaga,,onon1246,3.0,3.0,0.0,
Bukusu,Atlantic-Congo,buku1249,3.29248,3.6067258999999994,0.15685543693857093,-2.00341095044775
Talise,Austronesian,tali1259,3.08641,2.97555448,0.09385275866765769,1.1811642148160046
Tubuai,Austronesian,tubu1240,3.0,3.0,0.0,
Romanian,Indo-European,roma1327,2.33333,3.35712844,0.14015213716803038,-7.304907800104064
Dhuwal-Dhuwala,Pama-Nyungan,dhuw1248,1.43066,3.58750707,0.19132943877645986,-11.27294933698079
Madurese,Austronesian,nucl1460,1.5,2.63518392,0.11672033879420333,-9.72567362061475
Galela,North Halmahera,gale1259,4.58352,4.162068069999999,0.22540886142335909,1.8697221011574916
Wangkajunga,Pama-Nyungan,wang1288,2.33333,2.64259115,0.12240692641014031,-2.526500411943848
Northern Pomo,,nort2966,2.1265400000000003,3.44969816,0.3279579093451086,-4.034536513061029
Nyangumarta,Pama-Nyungan,nyan1301,1.75,2.9624215000000005,0.20574031957044783,-5.892969849231976
Wanman,Pama-Nyungan,wanm1242,2.5,2.6998643,0.1862448700977023,-1.0731264699809089
Choctaw,,choc1276,3.25,3.25,0.0,
Andi,Nakh-Daghestanian,andi1255,2.378,3.1987118,0.124794269901947,-6.576518302041008
Sinitic,Sino-Tibetan,sini1245,3.0,3.0,0.0,
Jicarilla Apache,,jica1244,2.33334,3.95051721,0.18870044092348034,-8.570076477223385
Kuku-Yalanji,Pama-Nyungan,kuku1273,2.29176,3.56871204,0.15183013529085193,-8.410399144766743
Panamint,Uto-Aztecan,pana1305,3.0,3.72168238,0.1612480564066916,-4.47560358916705
Ura (Vanuatu),Austronesian,urav1235,1.9183,1.9182999999999992,6.661338147750939e-16,1.0
Magam,Austronesian,maga1262,3.0,3.0,0.0,
Yaka (Central African Republic),Atlantic-Congo,yaka1272,2.76369,2.74566736,0.15409414683183267,0.11695862802412922
Naasioi,South Bougainville,naas1242,2.75,2.75,0.0,
Maskelynes,Austronesian,mask1242,1.35098,1.8697360200000004,0.05196098235175696,-9.983568372287703
Iraya,Austronesian,iray1237,1.3333300000000001,2.6355934299999997,0.13000215027965922,-10.017245308624393
Tabla,Sentanic,tabl1243,2.0,3.6027669700000002,0.13389061511069061,-11.970719297054195
Assamese,Indo-European,assa1263,1.875,3.56899129,0.2729236374388189,-6.206832452831209
Ili'uun,Austronesian,iliu1237,1.54085,3.08587042,0.11153373877990282,-13.85249375571364
Southwest Tanna,Austronesian,sout2869,1.75,3.22009171,0.23689900040223028,-6.205563161954819
Torres Strait Creole,Indo-European,torr1261,3.33334,3.3455690299999996,0.13189641181153905,-0.09271692710998794
Marind,,nucl1622,2.6265400000000003,3.2908134799999997,0.16656503262596745,-3.9880728237340697
Ekonda Mongo,Atlantic-Congo,ekon1238,2.33719,2.41384663,0.027418361255609387,-2.795813698906502
Meta',Atlantic-Congo,meta1238,2.9219299999999997,2.92193,4.440892098500626e-16,-1.0
Toda,Dravidian,toda1252,2.5,3.33194802,0.1379536206443296,-6.030635630397253
