language,language_family,code,simulation,predictive_structure
Kariyarra,Pama-Nyungan,kari1304,N,3.18872
Kashaya,,kash1280,N,4.24875
Northern Mansi,Uralic,mans1258,N,2.33334
Mayo,Uto-Aztecan,mayo1264,N,2.5219300000000002
Maranao,Austronesian,mara1404,N,1.3333300000000001
Western Canadian Inuktitut,,west2618,N,3.0
Rade,Austronesian,rade1240,N,2.75
Komba,Nuclear Trans New Guinea,komb1273,N,2.16667
Arosi,Austronesian,aros1241,N,0.64343
Negerhollands,Indo-European,nege1244,N,2.0
Kawaiisu,Uto-Aztecan,kawa1283,N,3.0
Waimaha,,waim1255,N,3.16667
Modole,North Halmahera,modo1249,N,1.8
Tagalog,Austronesian,taga1270,N,1.1
Western Apache,,west2615,N,2.06327
Palauan,Austronesian,pala1344,N,2.0
Munggava,Austronesian,mung1271,N,2.30631
Nogai,Turkic,noga1249,N,2.0
Aguaruna,,agua1253,N,2.33333
Waiwai,Cariban,waiw1244,N,2.3637200000000003
Cebuano,Austronesian,cebu1242,N,1.5
Cocama-Cocamilla,Tupian,coca1259,N,2.63413
Emae,Austronesian,emae1237,N,1.0
Onondaga,,onon1246,N,3.0
Bukusu,Atlantic-Congo,buku1249,N,3.29248
Talise,Austronesian,tali1259,N,3.08641
Tubuai,Austronesian,tubu1240,N,3.0
Romanian,Indo-European,roma1327,N,2.33333
Dhuwal-Dhuwala,Pama-Nyungan,dhuw1248,N,1.43066
Madurese,Austronesian,nucl1460,N,1.5
Galela,North Halmahera,gale1259,N,4.58352
Wangkajunga,Pama-Nyungan,wang1288,N,2.33333
Northern Pomo,,nort2966,N,2.1265400000000003
Nyangumarta,Pama-Nyungan,nyan1301,N,1.75
Wanman,Pama-Nyungan,wanm1242,N,2.5
Choctaw,,choc1276,N,3.25
Andi,Nakh-Daghestanian,andi1255,N,2.378
Sinitic,Sino-Tibetan,sini1245,N,3.0
Jicarilla Apache,,jica1244,N,2.33334
Kuku-Yalanji,Pama-Nyungan,kuku1273,N,2.29176
Panamint,Uto-Aztecan,pana1305,N,3.0
Ura (Vanuatu),Austronesian,urav1235,N,1.9183
Magam,Austronesian,maga1262,N,3.0
Yaka (Central African Republic),Atlantic-Congo,yaka1272,N,2.76369
Naasioi,South Bougainville,naas1242,N,2.75
Maskelynes,Austronesian,mask1242,N,1.35098
Iraya,Austronesian,iray1237,N,1.3333300000000001
Tabla,Sentanic,tabl1243,N,2.0
Assamese,Indo-European,assa1263,N,1.875
Ili'uun,Austronesian,iliu1237,N,1.54085
Southwest Tanna,Austronesian,sout2869,N,1.75
Torres Strait Creole,Indo-European,torr1261,N,3.33334
Marind,,nucl1622,N,2.6265400000000003
Ekonda Mongo,Atlantic-Congo,ekon1238,N,2.33719
Meta',Atlantic-Congo,meta1238,N,2.9219299999999997
Toda,Dravidian,toda1252,N,2.5
Suzhou,Sino-Tibetan,suzh1234,N,3.0
S'gaw Karen,Sino-Tibetan,sgaw1245,N,3.0
Kosarek Yale,Nuclear Trans New Guinea,kosa1249,N,2.5
Foi,East Kutubu,foii1241,N,1.5
Trinitario,Arawakan,trin1274,N,2.0
Moselle Franconian,Indo-European,luxe1241,N,1.3333300000000001
Makonde,Atlantic-Congo,mako1251,N,1.93494
Northern Tepehuan,Uto-Aztecan,nort2959,N,2.0
Urdu,Indo-European,urdu1245,N,1.83333
Ninam,,nina1238,N,2.35098
Vera'a,Austronesian,vera1241,N,2.5
Atayal,Austronesian,atay1247,N,2.0
Mashco Piro,Arawakan,mash1270,N,1.0
Bulgarian,Indo-European,bulg1262,N,3.0
Dadibi,Teberan,dadi1250,N,1.6666699999999999
Telugu,Dravidian,telu1262,N,2.79248
Wangkumara,Pama-Nyungan,wong1246,N,3.0
Central Cagayan Agta,Austronesian,cent2084,N,1.6666699999999999
Malecite,Algic,male1293,N,2.5
Umbu-Ungu,Nuclear Trans New Guinea,umbu1258,N,1.6666699999999999
Sougb,,mani1235,N,3.5
Wang-The,Sino-Tibetan,wang1287,N,3.25
Páez,,paez1247,N,2.58208
Kaurna,Pama-Nyungan,kaur1267,N,1.8
Sawai,Austronesian,sawa1247,N,2.5
Ancux,Nakh-Daghestanian,ancu1238,N,2.5
Alangan,Austronesian,alan1249,N,1.3333300000000001
Sie,Austronesian,siee1239,N,1.82212
Wiwirano,Austronesian,wiwi1237,N,2.0
Chibcha,,chib1270,N,2.5
Langi,Atlantic-Congo,lang1320,N,2.21823
Northern Kurdish,Indo-European,nort2641,N,1.3333300000000001
Nhanda,Pama-Nyungan,nhan1238,N,1.4
Woiwurrung-Thagungwurrung,Pama-Nyungan,woiw1237,N,3.0
Western Bukidnon Manobo,Austronesian,west2555,N,3.4183
Varisi,Austronesian,vari1239,N,2.5
Western Pantar,,lamm1241,N,2.7509699999999997
Fijian,Austronesian,fiji1243,N,2.53253
Nehan,Austronesian,neha1247,N,2.15564
Mussau-Emira,Austronesian,muss1246,N,2.0
Cimbala-Cizali,Atlantic-Congo,sans1272,N,1.55011
Acehnese,Austronesian,achi1257,N,3.0
Aklanon,Austronesian,akla1241,N,2.18709
Pohnpeian,Austronesian,pohn1238,N,2.0
Cotabato Manobo,Austronesian,cota1241,N,1.0
Kukatja,Pama-Nyungan,kuka1246,N,3.16666
Southern Cook Island Maori,Austronesian,raro1241,N,3.09382
Gela,Austronesian,gela1263,N,1.93764
Rejang,Austronesian,reja1240,N,1.0
Russian,Indo-European,russ1263,N,2.0
Landawe,Austronesian,land1259,N,2.0
French,Indo-European,stan1290,N,2.33333
Kashmiri,Indo-European,kash1277,N,1.3333300000000001
Gros Ventre,Algic,gros1243,N,3.25
Yindjibarndi,Pama-Nyungan,yind1247,N,2.5
Rennell-Bellona,Austronesian,renn1242,N,3.36635
Common Delaware,Algic,comm1246,N,2.5
Fipa,Atlantic-Congo,fipa1238,N,1.6
Umiray Dumaget Agta,Austronesian,umir1236,N,2.0
Kartujarra,Pama-Nyungan,kart1247,N,2.4000000000000004
