language,language_family,code,data_length
Chibcha,,chib1270,28
Biak,Austronesian,biak1248,28
Western Panjabi,Indo-European,west2386,60
Kosarek Yale,Nuclear Trans New Guinea,kosa1249,28
Tenetehara,Tupian,temb1276,28
Ampibabo,Austronesian,ampi1237,60
Oroko,Atlantic-Congo,orok1266,4
Kalaallisut,,kala1399,28
Merlav,Austronesian,merl1237,34
Iowa-Oto,,iowa1245,28
Western Pantar,,lamm1241,60
Mescalero-Chiricahua Apache,,mesc1238,60
Dharumbal,Pama-Nyungan,dhar1248,28
Wanman,Pama-Nyungan,wanm1242,44
Mandan,,mand1446,28
Kadai,Austronesian,kada1286,28
Menui,Austronesian,menu1237,28
Okanagan,Salishan,okan1243,20
Kulisusu,Austronesian,kuli1254,60
Bario,Austronesian,bari1288,60
Yagwoia,Angan,yagw1240,28
Tonsea,Austronesian,tons1240,60
East Kewa,Nuclear Trans New Guinea,east2516,60
Lewo,Austronesian,lewo1242,16
Nanggu,Austronesian,nang1262,28
Bafia,Atlantic-Congo,bafi1243,12
Bulgarian,Indo-European,bulg1262,60
Northern Ojibwa,Algic,nort2961,40
Ngaanyatjarra,Pama-Nyungan,ngaa1240,60
Kodeoha,Austronesian,kode1237,28
Ayoreo,,ayor1240,60
Wapishana,Arawakan,wapi1253,60
Bayungu,Pama-Nyungan,bayu1240,44
Mori Atas,Austronesian,mori1269,28
Erzya,Uralic,erzy1239,60
Tulambatu,Austronesian,tula1253,28
Sangtam Naga,Sino-Tibetan,sang1321,28
Koroni,Austronesian,koro1311,28
North Ambrym,Austronesian,nort2839,36
Waia (Bungku),Austronesian,waia1242,28
Sa'a,Austronesian,saaa1240,36
Isnag,Austronesian,isna1241,60
Vaeakau-Taumako,Austronesian,pile1238,60
Tsaangi,Atlantic-Congo,tsaa1242,5
Winnebago-Chiwere,,winn1245,28
Kamayurá,Tupian,kama1373,60
Hindi,Indo-European,hind1269,60
Dyirbal,Pama-Nyungan,dyir1250,60
Blood,Algic,bloo1239,28
Lelepa,Austronesian,lele1267,60
Church Slavic,Indo-European,chur1257,44
Wichí Lhamtés Güisnay,,wich1264,8
Djinang,Pama-Nyungan,djin1253,36
Dzongkha,Sino-Tibetan,dzon1239,28
Nage,Austronesian,nage1237,28
Madak linkage,Austronesian,mada1284,34
Estonian,Uralic,esto1258,4
Ekari,Nuclear Trans New Guinea,ekar1243,28
Gilbertese,Austronesian,gilb1244,28
Kyaka,Nuclear Trans New Guinea,kyak1244,60
Bats,Nakh-Daghestanian,bats1242,58
Yaka (Central African Republic),Atlantic-Congo,yaka1272,58
Urak Lawoi',Austronesian,urak1238,28
Hoti,,yuwa1244,16
Gusii,Atlantic-Congo,gusi1247,36
Moni,Nuclear Trans New Guinea,moni1261,24
Grass Koiari,Koiarian,gras1249,58
Chamorro,Austronesian,cham1312,60
Guarayu,Tupian,guar1292,27
Manange,Sino-Tibetan,mana1288,54
Lakota,,lako1247,28
Ingush,Nakh-Daghestanian,ingu1240,60
Mairasi,Mairasic,nucl1594,60
Komo (Democratic Republic of Congo),Atlantic-Congo,komo1260,60
Nahavaq,Austronesian,sout2857,28
Patani,Austronesian,pata1260,60
Anambé,Tupian,anam1249,16
Amis,Austronesian,amis1246,12
Laiwui,Austronesian,laiw1239,28
Pilagá,,pila1245,60
Tetun Dili,Austronesian,tetu1246,28
Kwamera,Austronesian,kwam1252,60
Kadar,Dravidian,kada1242,28
Moselle Franconian,Indo-European,luxe1241,60
Maca,,maca1260,36
Mangareva,Austronesian,mang1401,60
Mahasu Pahari,Indo-European,maha1287,28
Buin,,buin1247,44
Baffin Inuktitut,,baff1241,28
Mokpwe,Atlantic-Congo,mokp1239,60
Lahnda,Indo-European,lahn1241,56
Wik-Mungkan,Pama-Nyungan,wikm1247,36
Dampelas,Austronesian,damp1237,60
Kickapoo,Algic,kick1244,28
Tomini,Austronesian,tomi1243,60
Atayal,Austronesian,atay1247,12
Hewa,Sepik,hewa1241,60
Bahonsuai,Austronesian,baho1237,28
Bo-Ung,Nuclear Trans New Guinea,boun1245,28
Kikuyu,Atlantic-Congo,kiku1240,60
German,Indo-European,stan1295,60
Tenharim-Parintintin-Diahoi,Tupian,tenh1241,60
Wathawurrung,Pama-Nyungan,wath1238,28
Flinders Island,Pama-Nyungan,flin1247,6
Wirangu,Pama-Nyungan,wira1265,52
Pukapuka,Austronesian,puka1242,60
Kiramang,,kira1248,28
Nimboran,Nimboranic,nucl1633,60
Niuean,Austronesian,niue1239,60
Hid,Nakh-Daghestanian,hidd1238,60
Cornish,Indo-European,corn1251,32
Ancient Greek,Indo-European,anci1242,60
Langi,Atlantic-Congo,lang1320,58
Bukusu,Atlantic-Congo,buku1249,60
Kodava,Dravidian,koda1255,44
Avestan,Indo-European,aves1237,44
Gigatl,Nakh-Daghestanian,giga1238,60
Jaru,Pama-Nyungan,jaru1254,52
